,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
2004-06-10,-0.231485,-0.04455589,0.13966143,0.18334387,43.71003,302.78647,290.5419,294.44962,291.854,285.96176,34.162754,76.73232,48.845234,15.487008,2.5173213,26.274971,6.482206,30.25845,23.069262,25.10301,0.27726132,0.24837045,0.2357922,0.307768,69.13236,302.8122,280.48615,286.16248,305.36942,283.79556,60.123703,83.72772,63.10641,16.868666,9.198999,27.007307,10.490834,33.963207,21.738285,61.815006
2004-06-17,-0.2093321,-0.052040845,0.1370153,0.18216707,44.852367,302.85944,290.611,294.49887,291.8956,286.06387,34.231712,76.6771,49.561123,15.591682,2.5154061,26.34062,6.473152,30.314152,23.161226,25.270998,0.27570322,0.24755986,0.23543394,0.30627552,69.405716,302.80533,280.48227,286.15652,305.3658,283.78873,56.874077,83.71045,63.770267,16.851658,9.232741,26.990986,10.439283,33.96099,21.715405,63.05318
2004-06-24,-0.22949393,-0.062035743,0.12496049,0.1751699,41.921696,302.9055,290.64478,294.55917,291.90256,286.1258,33.404694,76.80777,46.373577,15.712688,2.4878812,26.38591,6.423837,30.28938,23.261856,26.133291,0.2757473,0.24810243,0.23589544,0.30696386,69.70813,302.79758,280.48132,286.1502,305.35782,283.78662,54.992424,83.70408,63.60388,16.827234,9.138508,26.96623,10.380904,33.951153,21.69376,61.537514
2004-07-01,-0.23111656,-0.06260451,0.12155025,0.17290623,37.701298,302.92084,290.65482,294.5898,291.90707,286.15567,31.713308,76.93378,42.101753,15.791708,2.4665923,26.418613,6.422586,30.346863,23.25663,26.49083,0.27547,0.24805862,0.23573287,0.3066793,69.32922,302.79083,280.48648,286.14236,305.35675,283.78067,50.229992,83.66836,62.921803,16.801836,9.178631,26.93592,10.315463,33.942043,21.672852,59.399956
2004-07-08,-0.20141451,-0.057677474,0.11831712,0.16659692,33.891273,302.94547,290.67264,294.6795,291.93448,286.16693,30.211092,77.28451,38.424202,15.950186,2.4662528,26.469767,6.42298,30.41836,23.315577,27.067753,0.27665362,0.24906504,0.23602694,0.30720678,68.40505,302.78284,280.48404,286.13394,305.35406,283.7779,49.39105,83.631035,62.44081,16.770819,9.048395,26.903353,10.253183,33.93774,21.643831,58.095608
2004-07-15,-0.17470315,-0.049287975,0.12295971,0.16653484,31.982208,302.9618,290.68045,294.70468,291.9407,286.17087,29.846764,77.36823,36.80479,16.015495,2.4701967,26.519516,6.4428105,30.476118,23.324738,27.445295,0.27767304,0.2493328,0.23609062,0.30883294,67.41634,302.7733,280.47635,286.12668,305.3463,283.77582,50.132202,83.60315,61.190266,16.738686,8.989762,26.875645,10.241203,33.9214,21.618689,57.860252
2004-07-22,-0.15103978,0.0012140028,0.12649676,0.16834366,31.170464,302.9851,290.69916,294.76553,291.96478,286.18796,29.441761,77.580475,36.195114,16.13016,2.482028,26.575306,6.4453506,30.51679,23.373772,27.65566,0.2778898,0.24937968,0.23629507,0.30878815,66.29999,302.769,280.4792,286.1215,305.33987,283.774,47.954765,83.540955,60.072372,16.704279,9.447035,26.863098,10.232464,33.90602,21.60522,56.55974
2004-07-29,-0.1540456,-0.0052151317,0.12965623,0.16572842,31.37662,303.02988,290.7353,294.79407,291.98682,286.21524,29.053154,77.52603,36.646717,16.192646,2.4818904,26.619778,6.472198,30.541843,23.401585,27.83909,0.27802986,0.2495751,0.2362975,0.3090494,65.03571,302.76492,280.47287,286.11523,305.33252,283.7712,45.719135,83.4538,58.120506,16.689508,9.819346,26.87761,10.282233,33.891033,21.613697,55.519085
2004-08-05,-0.1603953,-0.008602042,0.13273805,0.16719998,33.009514,303.10922,290.80762,294.83743,292.0666,286.27707,28.567614,77.37028,38.570618,16.271807,2.511241,26.701813,6.5256453,30.640932,23.438158,27.51092,0.27847344,0.24998859,0.2365449,0.3099274,64.132965,302.76865,280.4848,286.11035,305.33517,283.76642,45.332165,83.35808,58.540142,16.667978,10.309868,26.937666,10.3350525,33.889404,21.601202,55.28041
2004-08-12,-0.1633379,-0.008475954,0.13400039,0.16737914,35.431744,303.1861,290.87436,294.8792,292.13718,286.31827,27.984858,77.21236,41.188274,16.340586,2.5323641,26.844818,6.5691185,30.765375,23.540155,26.067074,0.27836886,0.24938767,0.23676343,0.3092491,63.701828,302.77542,280.49387,286.10712,305.34845,283.76086,42.232998,83.222496,57.590588,16.644156,10.779271,26.995756,10.428983,33.893806,21.604996,53.53644
2004-08-19,-0.16366084,-0.0067590284,0.13874604,0.1699664,34.79456,303.19897,290.882,294.87967,292.14072,286.32462,27.720682,77.15035,40.39115,16.343822,2.5231645,26.854507,6.528499,30.71395,23.594015,26.231115,0.2772449,0.24877664,0.23694152,0.30831322,62.41611,302.78403,280.50262,286.104,305.36636,283.76282,37.25481,83.03159,56.57831,16.618534,11.1244755,26.976227,10.310975,33.901886,21.606533,51.582745
2004-08-26,-0.1654095,-0.0039970772,0.14027707,0.1695328,33.722374,303.2246,290.90887,294.89584,292.1748,286.34167,27.74583,77.11311,39.215405,16.374117,2.5337582,26.863699,6.528938,30.728521,23.597805,26.070805,0.27673072,0.24873741,0.23669915,0.3081821,60.53244,302.78827,280.4966,286.09915,305.3766,283.76523,32.10888,82.796074,54.999725,16.596693,11.358154,26.90491,10.121854,33.85933,21.595615,48.851383
2004-09-02,-0.16575943,-0.0063619185,0.14097524,0.17107287,32.487,303.24445,290.92535,294.89447,292.17188,286.3699,27.616583,77.01591,37.97052,16.379248,2.513282,26.864656,6.5062795,30.681208,23.664293,25.106739,0.2771602,0.2483713,0.23695783,0.3092326,58.278786,302.79437,280.49615,286.09344,305.39117,283.7632,28.415007,82.53811,53.305996,16.576048,11.731548,26.726028,9.81378,33.76111,21.582777,45.95326
2004-09-09,-0.16479434,-0.0041927197,0.13949245,0.17078799,32.605473,303.2465,290.9259,294.90137,292.17014,286.39774,27.387365,77.04935,38.142433,16.399055,2.5062895,26.874372,6.514636,30.682333,23.681084,25.046213,0.27709702,0.24759407,0.23634617,0.30921555,58.298656,302.79858,280.4913,286.08682,305.40808,283.74802,30.011202,82.306076,52.885036,16.56833,11.900903,26.349087,9.364948,33.640278,21.591825,45.198635
2004-09-16,-0.13482952,-0.002007417,0.13902345,0.17134228,33.337543,303.24615,290.92694,294.9043,292.16983,286.409,27.341818,77.07509,38.881878,16.413702,2.5072074,26.883524,6.528997,30.690239,23.734207,24.279156,0.277326,0.24799585,0.23623696,0.3089227,59.091812,302.80374,280.48965,286.08374,305.42395,283.7416,36.135017,82.17022,53.512104,16.552969,11.74357,25.665028,8.879564,33.530357,21.581615,43.09167
2004-09-23,-0.13271599,-0.0036708922,0.13705888,0.16995192,34.75715,303.26413,290.9458,294.91876,292.19623,286.41492,26.969257,77.07225,40.28568,16.44653,2.508648,26.919209,6.5372276,30.749826,23.792387,23.537178,0.27793583,0.24829878,0.23665465,0.30959272,59.663242,302.81104,280.49307,286.08536,305.43863,283.74417,45.266632,82.15741,54.611526,16.554502,11.312324,24.526632,8.329999,33.46611,21.57552,45.513893
2004-09-30,-0.1319948,-0.0061861486,0.13432448,0.17004117,41.208305,303.27063,290.95114,294.9166,292.20615,286.40588,34.369106,77.04338,46.30253,16.454323,2.5213768,26.93776,6.5830636,30.792454,23.765047,24.100857,0.27784365,0.24839856,0.2367538,0.3085884,60.594604,302.822,280.50223,286.0905,305.45554,283.75363,50.970695,82.17849,55.596287,16.570263,11.00928,22.868757,7.5035653,33.468845,21.585121,47.66576
2004-10-07,-0.13664433,-0.02081325,0.1328847,0.17054887,46.506092,303.28503,290.9673,294.94528,292.22363,286.42017,40.447308,77.124725,50.967934,16.508474,2.5188465,26.966087,6.5878873,30.842852,23.791998,24.791386,0.27807814,0.2487532,0.23660798,0.3086012,61.445118,302.83167,280.50415,286.10034,305.46823,283.7709,56.426548,82.23522,56.57328,16.585346,10.774207,21.157377,7.4329987,33.545334,21.587841,46.06825
2004-10-14,-0.14037853,-0.028861664,0.13117613,0.1702704,48.552395,303.30698,290.98856,294.94656,292.25235,286.43112,42.910397,77.03268,52.545197,16.516277,2.5217152,26.992258,6.598335,30.898489,23.818073,25.278618,0.2777465,0.24811032,0.2364867,0.30835938,61.790623,302.83704,280.49875,286.1139,305.4771,283.7938,60.30838,82.3603,57.62905,16.613768,10.440605,24.450092,9.000053,33.695858,21.612959,47.572098
2004-10-21,-0.14722902,-0.039469358,0.13102144,0.16879703,48.192566,303.3145,290.99722,294.95734,292.26013,286.44635,42.685787,77.055855,51.83948,16.53808,2.5135498,26.995083,6.6012115,30.93563,23.816654,26.049519,0.27749154,0.24800247,0.23646484,0.30792168,62.956253,302.8433,280.50018,286.1263,305.48062,283.8137,62.199688,82.51548,58.456142,16.66197,10.212805,26.067833,9.911202,33.91867,21.638103,47.755554
2004-10-28,-0.15651135,-0.050354414,0.13325115,0.16736531,45.068203,303.30438,290.98483,294.97714,292.2613,286.43018,40.454556,77.19831,48.59859,16.569641,2.517597,26.976704,6.582873,30.901608,23.811838,26.582567,0.27674863,0.2476677,0.23621987,0.30798674,63.334656,302.84293,280.48648,286.1346,305.4783,283.81207,60.819042,82.63602,58.165054,16.717817,10.163335,26.741062,10.376681,34.15784,21.644493,49.237766
2004-11-04,-0.16426925,-0.050914444,0.13232695,0.1658348,42.392387,303.3002,290.9834,294.96054,292.2746,286.4369,37.268734,77.13145,45.9416,16.540022,2.5240836,26.951426,6.5918183,30.931377,23.803219,26.679398,0.2774849,0.24798922,0.23690692,0.30895236,63.175156,302.84546,280.4876,286.13968,305.47546,283.8091,58.831444,82.70424,57.35193,16.755173,10.493654,26.96558,10.591421,34.01133,21.64071,50.43645
2004-11-11,-0.17387497,-0.051721685,0.13525333,0.16716243,41.598843,303.2878,290.9722,294.9484,292.28662,286.4395,34.66652,77.12287,45.16111,16.515892,2.527422,26.91761,6.59247,30.909727,23.758026,26.967556,0.27780753,0.24795432,0.23733483,0.30935183,63.175438,302.849,280.48752,286.14304,305.4791,283.801,59.649582,82.72547,56.980427,16.777672,10.785513,26.99841,10.680994,34.026043,21.64982,51.936817
2004-11-18,-0.17967813,-0.04868991,0.13454586,0.1636128,41.36086,303.2733,290.963,294.95987,292.29587,286.43295,32.5246,77.23095,45.084618,16.52123,2.5292535,26.896158,6.572437,30.898367,23.736946,27.180573,0.27851692,0.24881469,0.2386743,0.3096447,63.142284,302.8515,280.4872,286.1457,305.48126,283.79193,62.281303,82.77388,58.260677,16.795134,10.663021,26.999931,10.687889,34.026745,21.657461,52.586098
