,sp500_Close,sp500_Volume,vix_Close,vix_Volume
2000-01-07,1420.3339844000004,1068760000.0,25.0159996,0.0
2000-01-14,1448.6480226,1033940000.0,21.6839996,0.0
2000-01-21,1449.4924925,1113750000.0,21.44749975,0.0
2000-01-28,1394.8740234000004,1106420000.0,23.960000200000003,0.0
2000-02-04,1412.4399902,1041000000.0,23.0140008,0.0
2000-02-11,1416.3239746000004,1020160000.0,22.8860002,0.0
2000-02-18,1382.802002,1023060000.0,23.995999800000003,0.0
2000-02-25,1349.912506,1063475000.0,24.8325,0.0
2000-03-03,1376.9180176000002,1170760000.0,21.9919996,0.0
2000-03-10,1382.0719723999996,1161580000.0,22.615999600000002,0.0
2000-03-17,1411.5699952000002,1238060000.0,22.548000199999997,0.0
2000-03-24,1501.1899904000004,1038440000.0,22.343999800000002,0.0
2000-03-31,1505.3219969999998,1068560000.0,24.6140004,0.0
2000-04-07,1501.1519775999998,1109412000.0,26.2200002,0.0
2000-04-14,1453.858008,1062540000.0,29.022000400000003,0.0
2000-04-21,1426.264984,1052925000.0,26.9850005,0.0
2000-04-28,1457.1280027999999,1007000000.0,26.394000400000003,0.0
2000-05-05,1434.3679932,940140000.0,28.861999800000003,0.0
2000-05-12,1409.6260255999998,900480000.0,28.162000199999998,0.0
2000-05-19,1442.0719970000002,858440000.0,24.516000199999997,0.0
2000-05-26,1386.634009,919660000.0,25.048000000000002,0.0
2000-06-02,1442.279999,981800000.0,22.7775005,0.0
2000-06-09,1463.0899902,856720000.0,22.6299994,0.0
2000-06-16,1465.8339842,980380000.0,21.33,0.0
2000-06-23,1466.947998,966620000.0,21.291999800000003,0.0
2000-06-30,1451.5340090000002,1119440000.0,20.756000600000004,0.0
2000-07-07,1462.83502175,837550000.0,20.2875,0.0
2000-07-14,1491.047998,961560000.0,19.964000600000002,0.0
2000-07-21,1492.3899655999999,951320000.0,19.346000600000004,0.0
2000-07-28,1452.1380127999998,1044380000.0,19.883999800000005,0.0
2000-08-04,1444.6239991999996,987480000.0,19.98,0.0
2000-08-11,1473.4159912,935460000.0,18.948000399999998,0.0
2000-08-18,1488.7260012,870660000.0,17.6819996,0.0
2000-08-25,1503.6679932,788820000.0,17.154,0.0
2000-09-01,1512.9939944000002,834380000.0,17.0980004,0.0
2000-09-08,1499.0849915,945025000.0,19.6225,0.0
2000-09-15,1480.5680175999998,1048240000.0,18.418,0.0
2000-09-22,1450.704004,1076460000.0,20.1280002,0.0
2000-09-29,1437.5219969999996,1133400000.0,20.9999996,0.0
2000-10-06,1428.4559812,1128580000.0,21.6720002,0.0
2000-10-13,1371.5180176,1152120000.0,26.7120002,0.0
2000-10-20,1370.482007,1216780000.0,26.535999999999998,0.0
2000-10-27,1380.565991,1182220000.0,26.142000399999997,0.0
2000-11-03,1420.8579832,1185020000.0,24.1919998,0.0
2000-11-10,1407.891992,958920000.0,26.164000400000006,0.0
2000-11-17,1372.8119874000001,1068320000.0,26.375999199999995,0.0
2000-11-24,1338.524994,865242500.0,26.94,0.0
