,trade_Trade Policy EMV Fraction,vix_Volume,sp500_Volume,hsi_Close,n100_Volume,ftse_Volume,infectious_daily_infect_emv_index,GPR,Overall EMV Tracker,sp500_Close,vix_Close,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,hsi_Volume,n100_Close,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty
2000-01-07,0.035599151158423235,0.0,1142847488.2545986,15583.323169874517,190060.68453557976,1151642333.2688522,0.06913065071024149,126.20159996699319,15.823047054876184,1420.8769976634167,21.49226379985212,11210.411563973159,205352015.46676886,3671.3656795903853,1694049233.7464986,18760.876881982564,606.9389081457284,6407.435332224495,401626.74988406524,953.953372641955,64.05276966273712,135.11940177324533
2000-01-14,0.034915114437792244,0.0,1130856899.3047693,15689.797143807638,132063.34300928935,1208349596.882407,0.08832933892784249,124.14984301943491,17.96854778162648,1423.001418515372,21.61496250488637,11192.127511556084,210580163.80936575,3713.417069442945,1715557099.2051682,18932.827730861827,386.2850370743199,6418.281222662137,247515.72560936213,961.6897639299959,66.06971705880633,130.7606798346204
2000-01-21,0.03446089841797574,0.0,1127792374.8074932,15824.288999309802,94954.75792948902,1286909981.9119902,0.12523847600657012,121.05917084944298,21.06823704426242,1416.5762796123727,22.12810949870428,11066.875179238708,204551887.13576016,3756.699567950237,1748759121.3755236,19097.82667206006,244.60014834889625,6380.611368818311,148462.3778795004,966.9113100164782,68.71653008715101,123.9400672950227
2000-01-28,0.03418232507094546,0.0,1108265412.266114,16100.403330813577,71259.09125624783,1421137756.2939153,0.18722395945136902,117.3635922127578,24.5488246273503,1405.0782415065023,22.902151826144706,10903.918596005735,198261711.28769404,3780.8085041180793,1746876553.147464,19304.495212271395,153.6164115605261,6349.289641126194,84757.08221368119,975.1304182726576,71.55923524635955,115.9698933829525
2000-02-04,0.03402384000412989,0.0,1091179046.9850235,16357.756222834127,56176.35620594956,1655758107.492927,0.2866554352134121,113.34081500785135,28.05388328956427,1402.4528270390147,23.027657339221136,10773.311383709644,195004467.50059533,3871.31510739232,1770993314.8465648,19482.74870092676,95.18403005319487,6312.211445542277,43744.977139502764,988.6479003655218,74.33063182738071,107.67307670283316
2000-02-11,0.03414672582453152,0.0,1083264239.333803,16647.70994957208,46624.63374625333,1759397165.774961,0.2933856587265802,109.16819193826035,31.36622571971078,1395.3361607757784,23.44963655850991,10604.019075910985,197430271.23823252,3960.6378429643414,1798909787.1641529,19602.496457222358,57.64963507106586,6300.100264564291,17300.81293065846,997.7187719991573,76.8705979344119,99.55830284170338
2000-02-18,0.03434623609159435,0.0,1086822500.8459868,16789.277380150197,40625.1140740253,1527876212.271019,0.21075845054700618,104.95864122087659,34.35806552831294,1389.7586486167384,23.67636974182389,10469.980416246726,200633879.17434555,4047.698027826736,1838770337.200901,19676.2707752174,33.53098222857443,6308.884387763641,207.64233988896012,1003.405882773546,79.08776308701715,91.93249968900665
2000-02-25,0.03347684714919358,0.0,1099245208.8961153,16966.932983805033,36907.25374936499,1381953011.61224,0.17027636897089243,100.78370998773735,36.95901735879077,1392.8137499079369,23.43715789433977,10385.593599477594,202177078.4323226,4150.495931414751,1866569201.9775748,19724.986688267887,18.02395731896104,6345.98085255426,-10884.164064317942,1011.1724810341865,80.93489952371664,84.97305388595906
2000-03-03,0.032779775319137144,0.0,1118432640.290402,17095.78037597588,34655.26121582091,1276011581.826684,0.16386260169098454,96.68838247134772,39.135550834870685,1407.657871104349,22.844291295690283,10405.50379397889,205105904.31079394,4246.981283065221,1902436355.4341903,19752.600286372413,8.043978169742331,6412.197012450248,-18125.296895608306,1020.1312635998813,82.39312176826748,78.77417853286146
2000-03-10,0.032115956806838576,0.0,1131195819.4671073,17184.688175688905,33345.32422104664,1203600018.0533524,0.19023834778031118,92.70058781087707,40.87779856875315,1422.0930915101053,22.977415137756896,10432.684406646502,206961307.52377903,4303.552912395607,1891329394.7836366,19742.696506012486,1.6105130786563677,6462.8544905608205,-22896.650182507932,1024.5351561455982,83.4617416278281,73.37668440347684
