,trade_Trade Policy EMV Fraction,vix_Volume,hsi_Close,sp500_Volume,n225_Volume,hsi_Volume,n100_Volume,infectious_daily_infect_emv_index,sp500_Close,vix_Close,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,ftse_Close,ftse_Volume,n100_Close,Overall EMV Tracker,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty
2015-01-02,0.029240294274979504,0.0,23806.415239042042,3389148222.724078,130132.46146026786,1816853059.7635562,498352759.4182378,2.0574016314365426,2035.020606252298,18.198747103739088,17615.43170504485,92212106.96261129,4203.510186998364,1730159524.6131673,17259.993808782878,6539.478288165762,611227754.6628451,846.4412958674294,4.2604940486679644e+99,1.0442712223825482e+100,1.1396781328441713e+91,1.6346863449102148e+91
2015-01-09,0.0273400277465509,0.0,23935.31747315276,3568900469.5098457,135758.60677267966,1848435066.8342414,528315856.8598147,1.612190652271593,2035.2079332731441,18.41430187214524,17616.37298528407,96940834.46897464,4202.906584220793,1808202812.5397968,17282.266205425145,6563.8233122451475,666098875.8150802,852.6213793697573,2.7771940537409542e+99,6.807060838296451e+99,7.411697266644012e+90,1.0630896535809851e+91
2015-01-16,0.027449230963936276,0.0,24104.467480926796,3687635644.696091,139848.42477755176,1780342212.563933,553725662.9148574,1.3865885965904874,2036.14123585711,18.51387029582943,17616.073249430083,100368968.93096441,4207.427385528881,1858118520.457828,17338.811547539437,6609.694553128997,701870692.6655476,865.6875299744324,1.8255287851509396e+99,4.47447596183703e+99,4.854706117019383e+90,6.963300926235088e+90
2015-01-23,0.025881518804575114,0.0,24261.01398633927,3732543951.724381,141069.2927070259,1758541493.355657,574436304.4938402,1.2718518346870906,2041.2649938323082,18.114548983707635,17638.063050518183,102432811.98012182,4224.853694456815,1877721142.3898132,17469.792044607475,6677.990652514306,716641470.9626123,882.8042624674018,1.2152026669538694e+99,2.978532473056818e+99,3.2146278043650664e+90,4.610870406585933e+90
2015-01-30,0.025577397282736336,0.0,24411.99172291727,3752408651.453856,144433.60063245325,1669260849.9248686,572721931.5660908,1.087365908545888,2046.1089088282301,17.74581067188818,17659.50913751876,103774964.85904986,4241.632814252878,1906068568.3984346,17634.126853735383,6739.079439856474,721560414.2780552,899.3265370206811,8.240334316599267e+98,2.0197547868659807e+99,2.163251137212156e+90,3.1028384178849037e+90
2015-02-06,0.022601199767677816,0.0,24496.89977370733,3740043140.640073,148400.95699097792,1606143165.640448,561346465.6296132,1.029712516573591,2055.9224999022645,17.20768502088478,17738.9539201632,101099107.27253467,4270.253729121775,1908852392.661837,17792.18507702248,6785.6847956148795,726353049.4702766,913.2860799518021,5.735719288354428e+98,1.4058596390176019e+99,1.4898426956295789e+90,2.1369415104351438e+90
2015-02-13,0.02130097780951287,0.0,24553.41764621932,3642498269.937411,149227.47280803157,1514240903.57107,551785904.7332562,0.9845208858450949,2067.653631919363,16.539981577735297,17829.458139120452,98766339.51165548,4307.93808429419,1875499089.4208164,17999.025604143884,6819.7636226007735,723915450.408091,926.1161529855597,4.1344847654846395e+98,1.013388116222135e+99,1.0590973314140458e+90,1.519106049067402e+90
2015-02-20,0.019142947957116605,0.0,24620.66401472743,3547867610.226859,150051.97497630655,1469607616.3798268,548849500.3066157,0.9524700440472749,2078.0884212980322,15.867845696485134,17907.421250171363,97639690.43939503,4346.104238871943,1847504708.7537456,18242.095875470153,6850.028493765305,723723087.3870374,939.4194096978422,3.113222137362623e+98,7.630709555309301e+98,7.841396888440632e+89,1.1247232046618858e+90
2015-02-27,0.019627373916740663,0.0,24654.61008866787,3499525668.9971213,149401.22800427338,1537231457.8644128,538164028.8533007,0.9794295051991925,2083.6970134282146,15.325937190357699,17956.31975029262,97828036.35516044,4371.879411506756,1849356758.4961631,18501.28787405267,6871.675881872228,743724821.7268689,952.5334925110899,2.464279389882897e+98,6.040114845382384e+98,6.091894472113431e+89,8.73785011856479e+89
2015-03-06,0.023428065756760263,0.0,24654.673109348063,3488375783.9408484,147733.456987099,1640669539.5151205,530955054.6048926,0.8996318172869713,2083.820439262086,15.074501518594301,17960.211495388823,100544790.17937149,4382.210197069326,1848967351.8391788,18730.304519690508,6879.586552780915,757446486.5048667,963.4383857028638,2.054327666378278e+98,5.0353005325612946e+98,4.984312933349022e+89,7.149201214005701e+89
2015-03-13,0.024127817960046517,0.0,24688.00208606637,3492694981.0219774,147519.78287051572,1743991846.0586908,520695632.16257405,0.6997086514790395,2080.8156024733353,15.022168099884432,17932.550329241985,105626728.54150535,4379.387613056979,1841548079.3795547,18941.704867288096,6878.21929597099,768534354.8188245,972.535435159516,1.79775833901991e+98,4.406435072236034e+98,4.2886872919155315e+89,6.151437280093124e+89
2015-03-20,0.02561146782541386,0.0,24883.405490225836,3502169954.693015,145841.89656371524,1876965235.9882789,524056360.8215132,0.5745903715847582,2082.5979340419317,14.771720749463237,17933.55003415966,110494396.78483313,4384.449634740071,1837307367.2687101,19163.45504145005,6900.079312496948,778809640.5831275,980.4915931038998,1.6396022203653473e+98,4.0187859053104985e+98,3.85735757531987e+89,5.532763658521263e+89
2015-03-27,0.024035816780413412,0.0,25221.66372856326,3431660580.1498594,145964.8369155614,2070112623.2810097,519197105.8966345,0.5504333983146332,2082.760005910308,14.581560021214347,17921.407124466314,107183984.66709182,4384.199027840886,1803523116.3142943,19326.244646958912,6918.771227835628,766989660.4317116,986.1158750846578,1.5445626003940007e+98,3.78583881735401e+98,3.5955088943330233e+89,5.157183526810134e+89
2015-04-03,0.023876232945316985,0.0,25706.691246410683,3387365614.6793914,145489.42483961766,2381128310.5984063,491742325.90916216,0.6006884154135685,2084.464761071943,14.373341739500312,17923.832116426882,104803240.74555358,4386.592832525836,1765388556.0394144,19434.3257353902,6928.953853606352,760676784.1066624,991.6684963735752,1.4899737521358e+98,3.652038841270046e+98,3.442256280020567e+89,4.937367116616197e+89
