,vix_Volume,infectious_daily_infect_emv_index,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction,dji_Volume,ndx_Volume,n225_Volume,hsi_Close,sp500_Close,sp500_Volume,vix_Close,dji_Close,ndx_Close,n225_Close,ftse_Close,ftse_Volume,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,GPR
2000-01-07,0.0,0.0,73.61447943494393,110.105627220384,0.022047042992225103,184900000.0,1634930000.0,0.0,15405.629883,1441.469971,1225200000.0,21.719999,11522.55957,3529.600098,18193.410156,6504.799805,888306000.0,0.0,943.880005,0.0,6.501232341298292,134.7299518325446
2000-01-14,0.0,0.0,73.61447943494393,110.105627220384,0.022047042992225103,266830000.0,1656630000.0,0.0,15542.230469,1465.150024,1085900000.0,19.66,11722.980469,3704.73999,18956.550781,6658.200195,1098626000.0,0.0,973.859985,0.0,13.197805545520929,129.29553915794924
2000-01-21,0.0,0.0,73.61447943494393,110.105627220384,0.022047042992225103,205840000.0,1923680000.0,0.0,15108.410156,1441.359985,1209800000.0,20.82,11251.709961,3849.959961,18878.089844,6346.299805,1007934000.0,0.0,951.51001,0.0,19.15752470215451,124.04178705558488
2000-01-28,0.0,0.0,71.91424718351676,117.57714600754619,0.03357314148681055,183090000.0,1616370000.0,0.0,16185.94043,1360.160034,1095800000.0,26.139999,10738.870117,3446.129883,19434.779297,6375.600098,918227000.0,0.0,948.210022,0.0,24.412899017333984,118.96603701027425
2000-02-04,0.0,0.75,73.61447943494393,110.105627220384,0.022047042992225103,166590000.0,1751450000.0,0.0,16185.94043,1424.369995,1045100000.0,21.540001,10963.799805,3874.370117,19763.130859,6185.0,2309287000.0,-1.8298648596837656e-32,1010.429993,0.0,28.996437697194285,114.06563050684022
2000-02-11,0.0,0.74,73.61447943494393,110.105627220384,0.022047042992225103,193540000.0,1738590000.0,0.0,17380.300781,1387.119995,1025700000.0,24.42,10425.209961,3968.889893,19819.974751886544,6193.299805,3433671000.0,0.0,1014.169983,0.0,32.94064994787034,109.33790903010534
2000-02-18,0.0,0.0,73.61447943494393,110.105627220384,0.022047042992225103,208930000.0,1898410000.0,0.0,16599.160156,1346.089966,1042300000.0,26.0,10219.519531,3965.75,19789.029297,6165.0,1098726000.0,0.0,992.530029,0.0,36.27804497549711,104.78021406489238
2000-02-25,0.0,0.0,73.61447943494393,110.105627220384,0.022047042992225103,195240000.0,1825500000.0,0.0,17200.980469,1333.359985,1065200000.0,25.200001,9862.120117,4178.580078,19817.880859,6198.0,1181230000.0,0.0,1004.719971,0.0,39.041131986209535,100.38988709602408
2000-03-03,0.0,0.0,73.61447943494393,110.105627220384,0.022047042992225103,210460000.0,2136530000.0,0.0,17285.240234,1409.170044,1150300000.0,19.209999,10367.200195,4442.870117,19927.539063,6487.5,1107792000.0,0.0,1042.400024,0.0,41.26242018614253,96.16426960832322
2000-03-10,0.0,0.0,73.61447943494393,110.105627220384,0.022047042992225103,197440000.0,1992170000.0,0.0,17831.859375,1395.069946,1138800000.0,21.24,9928.820313,4587.160156,19750.400391,6568.700195,1005534000.0,0.0,1045.27002,0.0,42.97441878143105,92.10070308661246
