,trade_Trade Policy EMV Fraction,vix_Volume,infectious_daily_infect_emv_index,GPR,sp500_Volume,Overall EMV Tracker,sp500_Close,vix_Close,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty
2015-01-02,0.024303762419042748,0.0,0.6449405576442733,84.52591907218692,3343427487.339652,13.605463959702298,2034.0789635029973,18.113222632877207,17613.724694016917,98964443.83988294,4204.320031366313,1678745210.0250263,16781.789660418053,146397.96736495517,6555.698976887894,615819203.5102174,23876.014720472333,1851075362.5186086,852.1389417055655,485405170.6652609,-2.2523712910312397e+27,-1.0566486507085425e+27
2015-01-09,0.022149483176762783,0.0,0.5796588403745542,84.79303650772782,3486683567.009016,13.707988904374156,2036.566343490366,18.148668474532663,17628.53432323314,103185569.24801566,4210.106914367885,1737836766.4747865,16997.78604723391,150268.7695666561,6588.607181537056,669844867.7470503,24007.907115897437,1867366238.5811143,860.0869442999738,518021350.1465459,-1.464057339606695e+27,-6.868291292005719e+26
2015-01-16,0.022617474108710654,0.0,0.44753157223095863,84.9644173195571,3654218163.2989593,13.773752082205526,2037.3475771483872,18.30152165437419,17621.150068246643,109376032.56548646,4215.216657243771,1801266090.0600324,17173.300415196885,153139.1256086062,6638.7553338851785,710093577.6587179,24156.306988459197,1790045531.7333162,875.1461955742334,554201210.0282263,-9.582341342293703e+26,-4.4953370211567486e+26
2015-01-23,0.025801149589218798,0.0,0.4041681732065595,85.07436478595551,3741021537.272689,13.815913043918453,2041.6590323729188,17.922331780460752,17635.280175768752,109354068.24955088,4234.902359041662,1830758366.096091,17410.089902045765,152402.14534850005,6706.319619915599,731147776.3887833,24314.144667863402,1727277244.0132656,892.6374695139767,582551785.4138415,-6.337851516072597e+26,-2.9732585739818642e+26
2015-01-30,0.02742877743593585,0.0,0.4409036203917712,85.14492295813565,3860981347.603383,13.842921568870405,2043.8843414006164,17.793370788614553,17641.565950441065,111788942.01868616,4245.90076259816,1895534479.033063,17625.92091745655,155630.3181528919,6748.29480160803,730484715.7474846,24363.570014369732,1534785117.3132377,906.2709800595624,566330563.5073283,-4.257869413568164e+26,-1.9974823816370558e+26
2015-02-06,0.027825166171127336,0.0,0.5650559446933926,85.19027533931367,3839035184.6450615,13.860203732932485,2055.8355567301805,17.026968793736412,17742.80942315396,102877863.78112139,4276.353204100054,1886451598.8218546,17831.360349706767,155268.51961810316,6789.744083290478,715974552.7574154,24383.14951898275,1361483308.2560053,919.8583332903432,554258504.1979237,-2.925543298584246e+26,-1.3724519537909648e+26
2015-02-13,0.026619924233224974,0.0,0.6193999645444653,85.21957506385417,3737938880.7170057,13.871244624084117,2067.8051643758995,16.20614141322414,17827.379754617057,95831898.88722578,4316.294018780061,1847730554.14102,18072.60489029126,157444.21059493092,6818.148478067336,714885255.4443904,24342.354030560375,1172473941.4452882,933.1122315740126,552795237.611685,-2.0732260918661306e+26,-9.726067639501643e+25
2015-02-20,0.024022104297877576,0.0,0.6107678001226995,85.23877131275847,3678617090.029778,13.87828375168419,2073.881025005752,15.687060690025614,17873.168077282415,90921268.73136953,4342.632058052792,1790010191.2933693,18344.850007794306,158691.93003375834,6835.164701908368,709737487.5021385,24232.442735795175,949619263.2663783,946.292789288014,527241676.8583369,-1.5290696824375383e+26,-7.173281879504368e+25
2015-02-27,0.024420401094275877,0.0,0.6314180923184265,85.25179640994504,3698402967.930686,13.882761911956955,2072.616524184761,15.444141846593835,17865.119941213707,81934796.23065217,4348.826365859632,1737992883.42727,18618.66282008605,162400.5247075999,6835.857319218298,693670408.6877499,24380.468104155974,1196655280.0102122,959.2135178805202,488727679.9714724,-1.1827350458671344e+26,-5.548531875439957e+25
2015-03-06,0.025767280712282355,0.0,0.6854595861594859,85.26135047348606,3748096423.597888,13.885608677598853,2064.9220783850096,15.620897086631587,17803.20240139921,69135471.3927345,4336.595572554779,1642414545.056499,18855.58440166473,163630.5370357305,6814.0735095051605,639970493.6857901,24438.892924688073,1382364102.8946104,969.3122375398544,449940473.60261124,-9.633759381953997e+25,-4.519458622442466e+25
