,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
1990-04-30,0.12881776111898868,0.16793987052829307,0.20900679927264038,0.19630505576555618,24.83751344457285,296.51210489330526,296.6180418794163,292.95000792558835,298.76691592635814,294.8115607167706,26.057382084873147,80.04971833873377,24.83751344457285,16.978045886062358,2.2539461155233513,27.647192119987228,7.249840601900135,33.104737315451146,23.040693572935513,20.13787852449367,92884870.35812452,203536932.72074324,184581035.001356,244683899.37885928,-34478160461.81499,-32831521241.02734,-33390234619.893112,-33353728937.959328,-31609177480.330627,-33533106740.922623,-306799012431.4187,-13624634961.420765,-34478160461.81499,-1873445779.1978343,1227219222.8019395,-18133528036.42489,-6270095098.239379,-62464386.83391158,40184737.01201093,-68617567267.04076
1990-05-07,0.12967445780962467,0.16848959348965598,0.209599465131263,0.19696612316555867,25.171731162650918,297.46021961625223,297.56617730801713,293.88658488976307,299.72170298613565,295.75371618643584,26.327685058122704,80.3045866068934,25.171731162650918,17.034628090273813,2.260408582408971,27.73258992602893,7.271275086489473,33.19964409178713,23.1086851688916,20.253954105823997,92973363.60139033,203730846.3543063,184756888.97813624,244917014.52687836,-34511008495.45389,-32862800491.50752,-33422046167.71627,-33385505706.0158,-31639292179.430023,-33565054405.950882,-307091305990.8562,-13637615424.175413,-34511008495.45389,-1875230648.6191669,1228388418.9227855,-18150804287.536423,-6276068770.259062,-62523898.68886359,40223021.6741284,-68682940808.48316
1990-05-14,0.13049973142615925,0.16866174888626745,0.21006396658061596,0.19752672093645418,25.641847024673197,298.11585604511674,298.2211841460209,294.5367235798969,300.3813614635114,296.4053112077224,26.659615477408096,80.49151793987414,25.641847024673197,17.08241061262411,2.2630578855123167,27.79547286648411,7.285231888433977,33.26393678662736,23.15589162206965,20.4089008523043,92841606.9096871,203442130.29559162,184495061.75883442,244569931.70246348,-34462101425.16045,-32816229173.264187,-33374682317.687817,-33338193638.988716,-31594454748.68892,-33517487892.751694,-306656113372.99854,-13618288959.004028,-34462101425.16045,-1872573176.8281498,1226647615.3245785,-18125082085.044685,-6267174712.804464,-62435294.35170929,40166019.67874251,-68585607470.46228
1990-05-21,0.13138676281470618,0.168429993376008,0.21041301591168016,0.1980089321748137,26.337527159690037,298.6107875419534,298.71466927042326,295.03127278866543,300.8786089928185,296.8973633599485,27.11947872516774,80.64896488924916,26.337527159690037,17.131277848441915,2.2624529306682097,27.848831111167364,7.294576612243752,33.311152646623924,23.19241565701884,20.628824253913464,92569149.59107563,202845099.50220096,183953633.91818622,243852205.32508183,-34360967350.17438,-32719925155.48793,-33276739437.39311,-33240357839.944675,-31501736206.55879,-33419125928.739384,-305756186173.8434,-13578324099.464973,-34360967350.17438,-1867077837.2560165,1223047838.2604795,-18071891500.080826,-6248782814.251345,-62252070.04631896,40048146.417668104,-68384333306.482635
1990-05-28,0.13243018098317305,0.1668571508922886,0.21036133408763025,0.19810293849377714,27.634687042748602,298.9817486395415,299.0816423740723,295.4118648902605,301.24741915450755,297.2685043530236,27.94036942418127,80.8101153591444,27.634687042748602,17.197152026642577,2.252718538348315,27.900712869741554,7.296005362217776,33.341195414521906,23.21928863713757,21.057689214026315,92207066.09052101,202051672.48009822,183234100.71505955,242898379.31378406,-34226564716.726326,-32591941449.544086,-33146577756.95936,-33110338465.700623,-31378517436.365578,-33288407304.879753,-304560223433.72876,-13525212599.91268,-34226564716.726326,-1859774778.271874,1218263896.6487908,-18001203578.059456,-6224340798.722408,-62008572.89662579,39891498.21176441,-68116848922.11386
1990-06-04,0.13364645934520752,0.16431970867262236,0.2099631193664278,0.19795350678408788,29.40582358475804,299.25534468491503,299.34957390832903,295.70174071221857,301.5160117634507,297.543628073873,29.08166524132766,80.96874573222958,29.40582358475804,17.274290065412302,2.2364175840593545,27.947697070845834,7.287021310626481,33.34988057878234,23.23495289704978,21.63137837760288,91788148.16024545,201133705.20185745,182401625.99769196,241794836.02396384,-34071065574.297127,-32443868781.009247,-32995985248.189205,-32959910600.22426,-31235957631.710438,-33137170432.04639,-303176536405.66455,-13463764453.92948,-34071065574.297127,-1851325394.631857,1212729043.692002,-17919420112.49804,-6196062237.314877,-61726855.07331672,39710261.746349916,-67807378812.99228
1990-06-11,0.13535959511094225,0.16163108875521418,0.2095124031266841,0.1979421536597844,31.42870596697466,299.4570365009996,299.5451273933486,295.9222479669789,301.712698045224,297.74522507586715,30.448493926030913,81.11479096320384,31.42870596697466,17.356763951294624,2.218872729659376,27.989415200677676,7.271045092724809,33.33847687783238,23.24060784377702,22.23980644285967,91333448.88728595,200137330.91569528,181498046.51086333,240597034.98807395,-33902284668.967045,-32283148672.152134,-32832530070.132984,-32796634128.26848,-31081221261.041473,-32973015852.376205,-301674663497.3971,-13397067792.117607,-33902284668.967045,-1842154317.5442245,1206721438.2795596,-17830651207.52389,-6165368295.46903,-61421074.595946044,39513545.21176125,-67471475683.09365
1990-06-18,0.13772804370055436,0.15968268780484401,0.20951640095609708,0.19847982313211104,33.40795937872107,299.6080995678314,299.69083658243443,296.09015707317843,301.8631190272651,297.8921852836659,31.941542537357982,81.23448594525834,33.40795937872107,17.43900206498168,2.205421950351192,28.026572560026956,7.251991324107864,33.31192577223946,23.240337205822442,22.826924798367287,90856484.37889054,199092167.22256014,180550221.49513823,239340581.29278117,-33725239077.137028,-32114558589.236946,-32661070990.021305,-32625362504.954983,-30918907921.736176,-32800823123.080406,-300099248450.4992,-13327105198.045162,-33725239077.137028,-1832534160.7563956,1200419658.7536898,-17737535554.940723,-6133171363.110489,-61100320.930139616,39307196.07716844,-67119124387.11537
1990-06-25,0.14081698174060575,0.15906410060337456,0.21044595456001078,0.19992856323439165,35.08103584250999,299.7239953374444,299.80296510039705,296.2176611215493,301.9857182156501,297.99911145153123,33.497885630350524,81.31791642379426,35.08103584250999,17.51627234641591,2.1999155269189274,28.05873137807429,7.232684762627919,33.273044495450684,23.238693335575263,23.379014715331312,90365931.51350638,198017227.60899872,179575393.66406438,238048332.18562233,-33543149590.214973,-31941165502.161263,-32484727170.190746,-32449211482.428154,-30751970397.952003,-32623724752.95186,-298478951019.73285,-13255149422.535786,-33543149590.214973,-1822639932.9677014,1193938346.300674,-17641767104.61399,-6100057163.357655,-60770429.20187593,39094968.21772605,-66756734860.17944
1990-07-02,0.14436784670170144,0.15996361491228972,0.21244337918036488,0.20232798015492648,36.57215853939047,299.81566430763394,299.89251261419514,296.31473524936126,302.0900780105368,298.0783181241916,35.07314412953323,81.36445024737185,36.57215853939047,17.586548121132033,2.203235129146327,28.08637833959368,7.216945560158014,33.22616198320049,23.238651560653903,23.880976559520338,89867360.06880137,196924717.02790987,178584631.2931095,236734959.9692759,-33358083667.387703,-31764938130.49971,-32305500833.080246,-32270181094.089428,-30582304112.260605,-32443731531.657295,-296832168196.9458,-13182017457.455647,-33358083667.387703,-1812583974.0652657,1187351090.2790692,-17544433220.415142,-6066401677.914959,-60435145.03864719,38879271.28456772,-66388421705.68148
