,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_sw,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,sj_ndvi_se,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_relative_humidity_percent,sj_station_precip_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_relative_humidity_percent,iq_reanalysis_specific_humidity_g_per_kg,iq_station_max_temp_c,iq_station_min_temp_c,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_precip_mm
2004-06-10,-0.03082727258292188,0.009543151600627381,0.1440186124805166,0.1711979612756841,0.12784872916896572,0.19092532046846253,0.14850767035727047,0.15429971523787914,298.9513341611593,298.97660554555057,295.19070248157504,300.87539871713284,296.8908621999987,79.62254491228185,39.91161870802837,294.7570450979921,295.79692071358056,293.45837489937605,302.0965798795538,290.7387429847202,92.96324375950834,16.03452337375123,32.12177416003635,20.62368141261961,19.90691241371892,26.088429114159815,19.90691241371892,17.717025076821763,2.6604932702549915,28.09407329792047,6.444403201683455,32.07682621904387,23.544680987388844,71.98463206312908,35.887464641122264,71.98463206312908,7.330071158542958,25.9667201537663,4.97914003598839,79.17923241518457
2004-06-17,-0.02944430639252095,0.010578863161195343,0.1438768236895668,0.1703138976155557,0.1255634410976038,0.19028311057332295,0.1464972095027192,0.15734898913789502,299.46782643502127,299.51132135373774,295.68496082183225,301.4487270202638,297.35549498167336,79.67586935069889,44.40482773282271,295.3111733230021,296.43018623033106,293.84752437893667,303.27682199726223,290.9780496257503,92.31089975684728,16.007972471757675,32.24208445852996,20.627776273602038,23.273687715659793,25.41346531770654,23.273687715659793,17.79349050470451,2.736982718335259,28.153332992926202,6.482735589772282,32.214555503118824,23.513156560036048,69.50024441522822,32.96183825643949,69.50024441522822,7.827837606178899,25.744349437037073,3.987365070926429,77.69053092010407
2004-06-24,-0.02804053676676764,0.011629358644758295,0.14374007899661337,0.1694428644812862,0.12328799030538434,0.18965254928814768,0.1444999028709625,0.16253180833744385,299.86118707689724,299.9118964760637,295.9892488075912,301.80250999383645,297.72204225740677,79.34918534966802,41.47435763561385,295.677898951488,296.87638092532256,294.05623118940264,303.90335532012284,290.9843512139772,91.64335999146957,15.954999596737888,32.15004690652757,20.456892731465373,28.679756749747227,25.81948386324344,28.679756749747227,17.831033198728363,2.712214800387161,28.17650140582309,6.391719456755807,32.13409821141108,23.6234197624426,62.01081018154177,31.730988983874955,62.01081018154177,8.333809279776993,25.48957718336991,2.114354483490569,83.0965277825309
2004-07-01,-0.026616748502918487,0.012694164088117812,0.14360829667432082,0.16858496936354211,0.12102309002929948,0.18903381284736284,0.1425162881812748,0.16346016976519304,300.1101218479041,300.1570480280586,296.1990562575315,302.007550791261,298.0438522748991,79.23016486064752,45.05439371679845,296.0446010331658,297.3261720157608,294.2954778920367,304.4613923188147,291.21907643941813,91.21230225759585,16.030178869939633,32.06730483373464,20.65690579473193,31.53635980566739,27.987476990667716,31.53635980566739,17.87515121686562,2.6583865700911486,28.188216606749663,6.324614226911443,32.03940382042322,23.67750257159556,60.335018752957794,31.669394858932982,60.335018752957794,8.826109371434466,25.316553843867304,-1.1486511168073221,85.41681632053624
2004-07-08,-0.025173736334985257,0.013772799683153814,0.1434813919650572,0.167740314181476,0.11876945064777072,0.18842707387601976,0.14054689850192292,0.16675896532552473,300.24308172008466,300.28875697005225,296.32816624163655,302.1049708833798,298.2853507552909,79.25825349437568,44.120177274583675,296.38123993077636,297.7152474764055,294.376940941463,305.02250574180823,291.32929600435034,90.08753984056128,16.008257368685946,32.21735623726876,20.767779336678377,35.02140134796276,29.31029187034113,35.02140134796276,17.903231129391543,2.613327043075997,28.16797716368898,6.285176202587616,31.911597057653033,23.806201377187673,61.450728635687334,27.805194446978756,61.450728635687334,9.391553340771488,25.025766459368686,-6.267795025733474,70.79550632576499
2004-07-15,-0.023712304588470345,0.014864779969379106,0.14335927713996247,0.16690899529911024,0.11652777945727474,0.1878325013442232,0.1385922621109966,0.16973536987546375,300.3639385093808,300.4177880743554,296.44796666318416,302.23440656259254,298.4549319941263,79.29911542408036,36.70543428732041,296.6620605937135,298.0214601968273,294.3625044107956,305.5588880582975,291.33720550473714,88.79720203641841,15.937156289296224,32.410184802986144,20.671663485413795,37.69453588905521,27.726074966300523,37.69453588905521,17.965453517801087,2.576617899439387,28.214610212516696,6.216972964539968,31.945178917676003,24.035210264175504,58.07117300411009,25.772909359064215,58.07117300411009,9.937280504115442,24.429200665392703,-14.404571281817947,61.69322740682267
2004-07-22,-0.022233266831106158,0.01596961402862937,0.14324186155934937,0.16609110354385037,0.11429878044980678,0.18725026052267196,0.136652902358828,0.16958653106714458,300.43358637643723,300.4872397186589,296.4891393569223,302.32189723992826,298.5066412611482,79.19810768304067,33.42973328124333,296.76646032840256,298.136132212554,294.3406258501747,305.8178116038699,291.3245780451143,88.23320631995142,15.881267186674485,32.464309837701336,20.60937581369967,36.06954859360269,28.524313624428196,36.06954859360269,17.969394172733665,2.615216465027865,28.254585992447446,6.343525342794001,32.026879010333936,24.070264328963383,56.69150836009238,23.94916739512479,56.69150836009238,10.22650625071954,23.357820838057037,-27.752582330879477,58.733579091469096
2004-07-29,-0.020737445519734665,0.017086805681815996,0.14312905173440862,0.16528672422710866,0.11208315409125164,0.1866805129393239,0.13472933753203675,0.16837985584114656,300.5009780537338,300.56545285448146,296.60037210768814,302.40510209488764,298.57098716848157,79.4345146962454,31.59959717374219,296.85317984689004,298.24662477876757,294.1794353227259,306.35111910608157,291.2090990639035,87.12914648915304,15.705460518585824,32.59054236950532,20.288523880519506,36.90375149989404,28.782535323024554,36.90375149989404,18.064409001726897,2.6396911334017217,28.341608097627024,6.432966702966887,32.17301942912639,24.138355183251633,55.898565570333346,21.8381283977726,55.898565570333346,10.519794301792206,21.697835412752127,-48.395369229556046,46.90711370358471
2004-08-05,-0.0192256716434644,0.01821585368766791,0.1430207513901902,0.16449593716701758,0.1098815971007317,0.18612341633719587,0.13282208071923446,0.1627349172520247,300.6131859950759,300.69108885418314,296.6586378106356,302.5408220084798,298.6410086245395,79.19390635604952,27.290109973730946,297.09885734484914,298.53946360188195,293.95210278805905,306.9254646973545,290.98792194883043,84.94507490009258,15.47551870481586,32.65410831114908,20.145063245660985,36.93994303557642,28.49228795505567,36.93994303557642,18.110049632907458,2.6777831022640783,28.48734286550492,6.534575263527831,32.41278056387897,24.253082805221055,49.09864207332798,18.57864716596063,49.09864207332798,11.147085344113314,19.48241693733364,-76.75296964924823,43.272584529736704
2004-08-12,-0.017698784363244964,0.019356251943388574,0.14291686152983132,0.1637188167132125,0.10769480223100115,0.18557912463331028,0.13093163967842272,0.15481091763864888,300.72194570955116,300.81799152867904,296.72032458716524,302.6363469719927,298.75087246440677,78.9845630378889,25.880897621141976,297.25273916923476,298.73902380240935,293.87887241564476,307.3956837521777,290.7570985211973,83.80675210970162,15.401838964268757,32.447733318089774,20.37036686904732,37.15935958288313,28.977570337032713,37.15935958288313,18.166285568365044,2.657101238619398,28.62375025093927,6.625776845774405,32.69403118689765,24.33736040055051,46.16208871556796,18.264033015797942,46.16208871556796,11.570750783563993,17.01274743613554,-109.69653939009574,37.28553432784749
2004-08-19,-0.016157630647999084,0.020507489687153036,0.1428172805000017,0.1629554317736618,0.1055234580499556,0.18504778787879772,0.12905851670611848,0.15278609366398957,300.7677323618988,300.86025876915824,296.8379304832025,302.6709388742845,298.7627074088965,79.3355736160033,27.55073646131124,297.5431448092787,299.15102156463956,294.1295995561341,307.8958103299834,291.05072155817123,83.58364725239161,15.643719443363228,32.47022237041369,20.669432545038234,40.61964673194562,32.435077499900856,40.61964673194562,18.291200702547027,2.6363731842312537,28.695213524390226,6.596212683013661,32.73293652636455,24.408017634886306,48.77881816166995,20.791569983307586,48.77881816166995,11.869624642107095,15.032542563684022,-137.95482764807542,38.67054418909345
2004-08-26,-0.014603064907454492,0.02166905170236934,0.14272190405753543,0.1622058458435218,0.10336824872332545,0.18452955222016687,0.12720320850823946,0.14499736408744482,300.8001590471063,300.8965137355019,296.8614115905914,302.71169191022494,298.7990590425292,79.29852905249467,29.073095995145437,297.77023936206166,299.38790161422116,294.51481203850136,308.3058639036311,291.50760470137266,84.38213372512594,16.02202646336158,32.726087970866125,20.76197647023554,44.7356011194606,33.49518847312696,44.7356011194606,18.31860076010753,2.6257495201062206,28.70458009687689,6.622831791734942,32.87725352520907,24.47916624716577,56.40309575889593,25.90571972125291,56.40309575889593,11.68338496271869,14.99087922867525,-142.29499219383325,47.704028622506996
2004-09-02,-0.013035948621818505,0.0228404185236285,0.14263062543722024,0.16147011703599348,0.10122985379862168,0.18402455986175048,0.12536620607278245,0.14607805959631215,300.80217608195073,300.8941863826441,296.8384960071567,302.7669324437937,298.84737374724017,79.18205957672791,32.291639111055375,297.914967399159,299.5328407612068,294.88244198373104,308.34789946291914,292.03911920544476,85.42337114105345,16.389134292242982,32.966432791027984,20.926460770195398,53.72835662195891,38.54899712229661,53.72835662195891,18.302529671176245,2.6116846695800784,28.64230641586498,6.676667231483808,32.93581436917149,24.445024807281207,66.7405991556431,31.567248280543584,66.7405991556431,11.326281361767691,19.44577151586612,-87.71567139970809,66.28857515788829
2004-09-09,-0.011457149968440418,0.024021066644265742,0.14254333542071113,0.1607482981151573,0.09910894799040176,0.1835329490293376,0.12354799454432551,0.14375056609615938,300.7846616273281,300.8830010638543,296.8976454708931,302.84787599938807,298.87748484267473,79.55749720740496,37.20864723331459,298.0806832367148,299.7006645230099,295.22175783259246,308.4904750437407,292.6315222252315,86.2417946774481,16.73688619815846,33.399228222595895,21.09572914784446,60.93104577520611,46.23113602032205,60.93104577520611,18.381492965998685,2.5942310406418825,28.58454623009091,6.654188718543558,33.020315536772074,24.41878434685263,60.963669170159356,35.16819585140015,60.963669170159356,11.007045912058437,22.3714516808791,-52.59637069678661,59.115493638570214
2004-09-16,-0.009867543445606405,0.02521046872545599,0.14245992240653907,0.16004043653076128,0.09700620096692338,0.1830548539350006,0.12174905310038643,0.1489925827454159,300.72488274566547,300.8409166264979,296.89885932129727,302.93086816719466,298.8155945755766,79.86899116328765,45.44521931485241,298.16351455235974,299.6979292162457,295.37524414425616,308.6822488660241,292.80325455995205,86.56021833366113,16.89756031789917,33.65089314624806,20.88360350680423,71.80068504016849,56.46863958840375,71.80068504016849,18.39241162953129,2.6270465197239536,28.445508691239738,6.5680570287624365,32.92765320645274,24.275230136321206,58.06612022707726,38.66506386069986,58.06612022707726,10.830546643233443,24.29171482088232,-29.709413180393913,59.13095990091588
2004-09-23,-0.008268009493614586,0.026408093806765415,0.14238027248118099,0.1593465744549371,0.09492227713825305,0.1825904047431261,0.11996985482966725,0.16505863115888586,300.5828148404836,300.7082983454473,296.8117085812124,302.93266605660307,298.64953956274644,80.14531511383748,56.20507017922188,298.32731318067215,299.8142605683797,295.4208544848304,308.82169898689153,292.86874923759194,85.95083179009234,16.949226954864997,34.03165002782303,20.767732359635325,86.55043925641117,74.78406477901947,86.55043925641117,18.300046975463157,2.6995395000582594,28.26603122401164,6.572505786409116,32.97933058598495,24.10572068964664,59.457665048018356,37.99602968022944,59.457665048018356,11.032982814577942,25.63639307419138,-14.647944929008213,53.51905310358775
2004-09-30,-0.006659434113277289,0.027613407518080668,0.1423042694911602,0.15866674882081866,0.09285783544589675,0.18213972753765775,0.1182108666122153,0.16907945441052924,300.5905616447442,300.71885009913035,296.66355322710956,302.93381016142007,298.66634590902083,79.3823003960247,46.557088405999636,298.42353847063566,299.89164763314204,295.66728211667845,308.7568640470651,293.0212462952187,86.62047930895675,17.20989980090326,34.27752471905023,21.044985597743967,69.4384353285805,57.04564112224398,69.4384353285805,18.137687253390904,2.8033217742015384,28.293151532052093,6.679854917227017,32.84570274893016,24.096427875661767,63.00819002050497,43.546871421522155,63.00819002050497,10.800535862764221,26.507148385246005,-5.206568465160849,54.59901579534105
2004-10-07,-0.005042708481999843,0.028825872292836893,0.1422317951161434,0.158000991363036,0.0908135291540184,0.18170294429055936,0.11647254900153023,0.1581931758059869,300.50387109208174,300.62488007468227,296.5455729923262,302.79472508856514,298.6695648139923,79.19932060714369,41.854090229348664,298.36330189584135,299.7571644826859,295.81733769211365,308.31501633646167,293.01137869191433,87.65290276271334,17.3696330436252,34.277615090848215,21.170745454801164,64.18072484521946,48.9861974119665,64.18072484521946,18.009218918344622,2.7334064938172298,28.14946686436791,6.5058451669425414,32.400130898031975,24.025525785464787,62.024755134709864,43.80219993287035,62.024755134709864,10.395381359290964,26.947739716802076,0.5786115606117193,58.586681530586844
2004-10-14,-0.003418728567585197,0.030044947582464798,0.14216272894300191,0.15734932866005785,0.0887900056423125,0.18128017283150533,0.11475535610864576,0.1608470984341115,300.3753361814512,300.51352631034047,296.4132632663694,302.70782560761944,298.6200226540167,79.15879324679626,40.63767663077174,298.4550324048804,299.81841776303065,296.06141961205276,308.42810963504894,293.0573423063221,88.45049946247758,17.637727845636885,34.531925987632555,21.41010271264424,64.79463070082548,43.571965592215065,64.79463070082548,17.867302746217387,2.698685263324123,27.97773642430176,6.390016910119685,32.093683134083165,23.87887853963364,62.99466658309506,44.83657397906845,62.99466658309506,10.302356514402298,27.38105637190613,4.30690380889153,68.7176105737874
2004-10-21,-0.0017883947399152667,0.03127009007197726,0.1420969485408033,0.1567117821783543,0.08678790620059602,0.18087152681880628,0.1130597354882146,0.148461623042918,300.21377256560004,300.3627498816445,296.1844038280222,302.4759675192109,298.568008684817,78.81499164550574,39.265377177625346,298.6195118263738,299.9835382674079,296.1378643944587,308.778930075158,293.0484971140095,88.1056852830057,17.72314650924961,34.791248705053526,21.65084496571837,61.70945470285661,38.58268763590229,61.70945470285661,17.61763359071466,2.572240575667877,27.775133358517362,6.3149759322487125,31.765235719148045,23.727228493320005,63.51568939543383,44.51662307301736,63.51568939543383,10.597187473701974,27.578584242139215,6.637223872820002,68.47474726128301
2004-10-28,-0.00015261138066049312,0.032500753896614915,0.14203432953669945,0.15608836831835177,0.08480786582518475,0.18047711571157637,0.11138612802662391,0.14934556047638584,299.9594081611209,300.11693130081846,295.94206486869035,302.1930560118627,298.3833305278417,78.84787089904569,42.72297396792197,298.6154782950829,299.95425477946026,296.1763820826132,308.9577086718103,293.0832485036171,88.36841857296228,17.77207913404697,34.887368519914645,21.74103901257102,68.78459047373735,37.70246991811052,68.78459047373735,17.35181830338121,2.471690015742597,27.469817823708176,6.157189449529232,31.349267504801745,23.540327029569674,69.61938484921883,48.4781379987914,69.61938484921883,10.378785799448375,27.749723874020766,8.384503361935266,79.32807328961174
2004-11-04,0.0014877135088304308,0.03373639085947007,0.1419747456926773,0.1554790984621508,0.08285051301711789,0.18009704474314894,0.10973496783216878,0.1608989427050913,299.7125097789448,299.8571872836462,295.63034949087256,301.8628131885095,298.1493043669509,78.51751665455734,47.90068082209699,298.6397223697186,299.92060665120636,296.2625442830499,308.4603497964823,293.2886979641247,88.73034957833868,17.867153756548248,34.7994915997044,21.91867992346895,70.25317224575463,39.315796838192234,70.25317224575463,17.00311045603081,2.39125617988421,27.158011954557555,6.1023036917505005,30.86278578826957,23.2808913179349,74.84429205746311,52.43203468868785,74.84429205746311,9.772140082931422,27.98861849167347,9.807366810200083,88.06444437224954
2004-11-11,0.00313166870130744,0.034976450650008005,0.1419180689831369,0.15488397902297668,0.08091646958229565,0.17973141489574673,0.10810668212730948,0.1556194579351428,299.4685543814864,299.583288465151,295.36407336246793,301.5395103918521,297.89940064966885,78.38257545238811,40.852771464439684,298.48470578239585,299.707501845798,296.3594376740381,307.8077531903711,293.28604648283897,89.8722639130649,17.973643499627435,34.6900928230224,22.119235566405493,64.65445550635427,42.54469851605007,64.65445550635427,16.691065184995324,2.3091772317934725,26.86607628298229,5.96224121729103,30.428718469937046,23.11714857074072,76.70928762335994,53.467606584088,76.70928762335994,8.987613506027106,28.15294978417774,10.719733395740999,94.12732770342066
