,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
2006-07-23,-6.3443177148344745,0.04536394148934625,0.136916312659207,0.12821874341830014,45.6209519109276,300.24576199423933,300.3754094141216,296.24210562628207,302.5344053944709,298.42319603933004,42.04862916591241,78.83415914226057,45.6209519109276,18.040018878033138,2.71704063362487,28.22294966885238,6.7679734040537305,32.947611712969085,23.64315238050199,30.10013239268382,0.2892455869130636,0.23201289365494732,0.2897737355606052,0.2666400093194222,54.86558736899717,296.4573629622622,297.77659909447266,293.51826342451477,306.2479307095456,290.55783347778686,20.48584091553556,85.5631034814668,54.86558736899717,15.76734086188367,10.174569600337117,27.495416588550547,10.71884414210604,33.585628689402434,20.41811236611727,75.12422588924588
2006-07-30,-4.145881862593555,0.041863619632238475,0.13883492255789354,0.12945106227341274,46.452173234915165,300.46503665191597,300.59726886528676,296.4494199051276,302.78219888692007,298.62394057783376,43.892865713906666,78.84683066605551,46.452173234915165,18.04951141945429,2.72358469264597,28.21674863962459,6.707447648792474,32.88882240416275,23.663773886070757,29.729476125198218,0.29168688275203386,0.2350259486190004,0.28932523223236156,0.26974685654395525,55.025674320900976,296.9526483681552,298.2920463095497,293.9470394548034,306.7689312174393,291.0602904743704,21.764244201036007,85.41237500837431,55.025674320900976,15.804026372641653,10.248529394104755,27.51035338939903,10.766624740777925,33.62745585685781,20.49044589350196,73.69012759037786
2006-08-06,-2.7353157451325814,0.036902368655488155,0.14535946974354202,0.13391066410133323,45.78992888021622,300.6412519258582,300.78061914684935,296.62493821309874,302.98486613336996,298.7519232675262,48.6713654864286,78.89460526710684,45.78992888021622,18.07726438086214,2.737223176637368,28.191128241922794,6.559547795820559,32.71018224542712,23.711788137647638,28.402208953175617,0.2997781952696485,0.24446886313202656,0.2894680644142698,0.2783049357570517,54.07769713086524,297.8002144268847,299.19712519164403,294.65945722900955,307.7408122441226,291.918769548473,23.017369775861177,85.03638352838121,54.07769713086524,15.874924573150444,10.46340606075864,27.55929660754922,10.847520296823514,33.72326321981853,20.51523114289826,71.17168723026556
2006-08-13,-1.8315354326106998,0.027074844939105724,0.15464933929943925,0.14039640558435967,45.74399375813772,300.6406297869943,300.79042436328973,296.66133113017133,303.02830776041174,298.7012883606718,58.36436230311597,79.05869338998815,45.74399375813772,18.143995934051848,2.7516225854749443,28.1429862881902,6.295699889329931,32.41008480592403,23.814385087224842,27.482226246168395,0.3159751871029828,0.26352362334903773,0.2916497985271026,0.2995587698069674,51.79707845063183,297.9934812153599,299.49754068284403,294.5824686592989,308.1766984637531,292.1066119950757,21.60073631578968,83.78097422719473,51.79707845063183,15.89261935334691,10.866443811812555,27.552358984412802,10.989689417400266,33.81619990267183,20.410360561028668,67.50417054021719
2006-08-20,-1.2449301600426423,0.019864191741583936,0.16579522922160939,0.14884010360427458,41.98137376748548,300.7380093908637,300.89557650500774,296.72731532606474,303.0676932830416,298.82234630307397,45.40463451595123,78.90613522928263,41.98137376748548,18.238591809182125,2.7449725923506776,28.23581147016757,6.210828663709551,32.370964301028565,23.90209140160271,23.841608939548095,0.30738006795242173,0.26174401996325247,0.2854766117079509,0.3045009035967138,57.51801366252362,298.27082267938357,299.7798383281696,294.7918304808169,308.45252803446357,292.5016224243876,22.03213417410823,83.4305649353183,57.51801366252362,16.162002465240615,10.996042880985634,27.532945821722066,10.888502432434684,33.88970008885184,20.50666510916529,72.01341789750776
2006-08-27,-0.8760191688037509,0.013770630040571274,0.16540931321009872,0.1520656209663347,45.87725946064688,300.81320826492487,300.9677303032373,296.7827126219162,303.1315307294591,298.85992976627324,38.819862972297614,78.81205354711084,45.87725946064688,18.315969595058718,2.79308901413723,28.248203415276556,6.308004765970108,32.365072484841924,23.89248369314737,24.632913181128274,0.3020729507941,0.2645554746930235,0.2792476635155495,0.30357425038392405,65.19269312816198,298.4582319577683,299.8764298041346,294.83656064974923,308.8236840404519,292.4630203034456,22.437918961429,82.83999611709716,65.19269312816198,16.250028183084332,11.269471657575496,27.483863574532897,10.877079449253994,34.078446539905904,20.523409285827896,75.81998692489854
2006-09-03,-0.6445702913774554,0.009667114308346991,0.16271800613732568,0.149981190556494,44.724907675805355,300.8996072747831,301.053372103688,296.80694599177616,303.2132110506371,298.88219066048333,32.09651912592108,78.5204302973278,44.724907675805355,18.35560917761309,2.848440029401206,28.31411319629852,6.312362184468936,32.391275041027185,23.88370596007482,24.174054484159328,0.3024262692560826,0.27846526007648165,0.2806738664761292,0.3147814524604226,72.18093430896158,298.5760241908108,299.98692374763215,294.806209660351,309.2045948055736,292.4034144965068,22.617211101885246,82.20608278758884,72.18093430896158,16.249135121683064,11.541313570628015,27.468658271142676,10.979809513234233,34.10015061172794,20.463959605272564,80.56343093564303
2006-09-10,-0.5058680700527418,-0.008540031911753565,0.16130523916942813,0.15332794498346092,42.11894942693368,300.9656852460995,301.1188296081418,296.7797918321707,303.3096863419697,298.8742302877282,27.3527818965469,78.10523131512943,42.11894942693368,18.340316554700628,2.979214659761399,28.418182817910974,6.46475985678876,32.55483412780387,23.99406664027113,21.75309749982648,0.3012832310675829,0.27801418820005713,0.2812811564175799,0.3099494483440617,79.99726363018445,298.7391835926999,300.1008586419325,294.66935124890745,309.41163958061577,292.19125995907234,22.87789542597863,80.93733354515948,79.99726363018445,16.14202564450699,11.885819029288704,27.644295530981275,11.270524373629803,34.299142694036604,20.436469686181443,66.21186573444514
2006-09-17,-0.41892719270353496,-0.023108127383291543,0.16463296378337205,0.160855079484366,43.01182543362876,301.0247205727527,301.1906847951333,296.74619653030993,303.46085865799193,298.8951145497881,24.98199905130204,77.68975881119317,43.01182543362876,18.31335987345497,3.1058069302948423,28.498387123910344,6.641340193733117,32.78843468653942,24.02567262611398,21.686181131713113,0.31481430662940624,0.2764744124067796,0.2892527132829568,0.31039319641531965,85.73578398140017,298.7834797168415,300.15131804514607,294.6729957785716,309.4264864867658,292.36451725903703,25.83992765594229,80.74911445114017,85.73578398140017,16.171329492998243,11.86034850310588,27.861846832540223,11.413932657424194,34.53516755814612,20.375483521880223,62.03923871513396
2006-09-24,-0.3684072757116965,-0.03165884086581966,0.17248082685102828,0.16432653601556363,38.9411673498679,301.08373044708884,301.24251541959336,296.70411117150235,303.4775627979589,298.9496703278171,22.171291571233056,77.23013017123756,38.9411673498679,18.273111630389824,3.153490179699753,28.573646881039892,6.705929368852386,32.91874642206659,24.084892638063987,20.859750695556073,0.3352696555984581,0.2828578034748729,0.30781690082675206,0.32117404239555686,86.23397865044558,299.01063914017556,300.38583525995006,294.99133708115164,309.5724212049704,292.6181175923594,30.694586253430717,81.2591431712199,86.23397865044558,16.50576089880788,11.939792251488267,27.978746878058306,11.468651146776988,34.6753592125485,20.828815074548658,70.1727696711925
2006-10-01,-0.32713963615641717,-0.043358863234629036,0.1753597718050594,0.1663504117665211,37.118930667144014,301.09116072585584,301.2453328141929,296.67379177409384,303.48377713949185,298.9694500793855,21.87956300007746,77.04848141789947,37.118930667144014,18.246147047851906,3.1489263681074835,28.59904381828008,6.751416632203975,32.97181216787728,24.183613225172657,23.708121375746273,0.34659496703724973,0.27011049423779515,0.3274558817566697,0.33463995640356814,87.52491356483299,299.15891861740556,300.5129960236929,295.42567885789015,309.3789445043881,293.0829898486585,34.55098786985123,82.51730071183519,87.52491356483299,16.958664428816117,11.65718932408141,28.101659249883262,11.628921218906173,34.78771243724782,21.167000212388388,73.55685907936953
2006-10-08,-0.2919682330211444,-0.05671415024949991,0.1744769461988056,0.16819748173545584,37.090309317151764,301.06401712598097,301.20607985897584,296.6144190494862,303.36140529459146,298.9990589071109,22.196753186353426,76.89046388811514,37.090309317151764,18.189411693972794,3.051213421042359,28.553993262015243,6.889735002574646,33.058253382260595,24.121619502120215,30.019273624999286,0.3340973177810469,0.26305189679216795,0.31787117664853004,0.31630669455894816,79.37905483711857,299.24995287812,300.5927906393996,295.7853269349382,309.327752163494,293.29226476295366,36.39490247140687,83.70853868990068,79.37905483711857,17.35159707913873,11.447549194924257,28.128462316129202,11.633414581367168,34.81467570264832,21.337553724545103,79.04635704693126
2006-10-15,-0.2837672125170769,-0.052691159554013045,0.1734658072675005,0.16458373534043136,41.9301471862471,300.971553093631,301.0861653176969,296.5850835736644,303.1866769499013,298.92507578968764,24.1380978433048,77.16868113907591,41.9301471862471,18.171044906890927,2.9494226460788076,28.44956437739701,6.928507787331441,32.975374746001094,24.00660264095655,40.832106695068035,0.31739151826287443,0.25899583313626495,0.30166577750217843,0.298418907317582,75.00196803022689,299.28538012747356,300.69146806509167,296.25807916122886,309.0689921344911,293.74799250463155,40.558101187155295,85.54176926965516,75.00196803022689,17.86612150918255,10.969070376110746,28.03784884553305,11.063061714501565,34.621662855773245,21.554518613836564,86.55677191987107
2006-10-22,-0.28944473587634434,-0.02931942344488736,0.15988016918055414,0.14378781429529558,46.17143454631446,300.81141418571696,300.9151828426401,296.53716439896255,303.02537504148063,298.8133947554994,26.831081011838048,77.68397811946457,46.17143454631446,18.1351376563921,2.928954728859694,28.296405738490773,6.909761704925737,32.826669301033036,23.915675307199024,54.16407339221411,0.3330080239685619,0.2684150607478132,0.3027299626965605,0.30926567297456137,77.27806200443683,299.2965938263905,300.7104831968209,296.62033143655896,308.7113540456532,294.1814584174643,46.931510121594094,87.11042222922951,77.27806200443683,18.26323856069105,10.271988310333512,27.939736965284027,10.683991420431088,34.610150294513225,21.6612267660935,78.84816648805385
2006-10-29,-0.32146256457735944,-0.03491248569556393,0.16430039317953504,0.1401494875534387,46.705528886742684,300.6805914924438,300.7911022002711,296.44575954921584,302.90596504115695,298.7623852277203,27.49332139772598,77.85796716775013,46.705528886742684,18.048279016227717,2.8885954601334083,28.13258252720371,6.766910389276011,32.58250359925048,23.830764695115555,50.11665564314073,0.3508889946895456,0.2761146452933785,0.32229620698328987,0.3151857548860033,74.24652361324874,299.22558766656516,300.65681160789825,296.7421331429708,308.4637853327986,294.2995042312673,51.58739802558097,88.02251897069183,74.24652361324874,18.392513095130155,9.914305831266807,27.70656557517801,10.42056619376405,34.4378886013653,21.539004690134156,85.2801105827761
2006-11-05,-0.370001255084361,-0.04026973018824076,0.16693138406739433,0.13902082411912248,37.382208491488484,300.5682206121604,300.67840600704346,296.2867183462826,302.80527640738177,298.6825384575758,28.216830345517792,77.62239882967631,37.382208491488484,17.880033131056102,2.8088694304843744,27.974033455705573,6.574305368383875,32.29418832060087,23.854989962499086,42.88065333792599,0.3412593934660172,0.26538401884098517,0.3187409050412031,0.30834711370393375,74.86782194740843,299.22935752285196,300.64005604448414,296.86866249186625,308.237217328783,294.46597622270156,55.59492294256323,88.59586517276007,74.86782194740843,18.536599745745587,9.670384213238911,27.49979982110843,10.156229002937911,34.390503177090295,21.763442950250194,80.09807995073463
