,sj_ndvi_ne,sj_ndvi_sw,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,sj_ndvi_nw,sj_ndvi_se,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_relative_humidity_percent,sj_station_precip_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_relative_humidity_percent,iq_reanalysis_specific_humidity_g_per_kg,iq_station_max_temp_c,iq_station_min_temp_c,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_precip_mm
1990-04-30,0.12427757889200106,0.1799533789280502,0.22548935198220965,0.0366504870565524,0.05656392033464233,0.04456959570239453,0.146978516704715,0.18953048629443053,295.86400979990486,296.0298750277593,291.61898932296765,298.13274680883256,294.1669439556735,76.84514016816217,17.62621629670293,294.26452901764037,295.9603730263297,292.7224574037758,304.73649383327904,290.6555375045382,91.65076360909201,16.51275330906696,32.22837206559813,20.527344748104035,19.779796230039036,24.578350658853672,19.779796230039036,15.415766857701167,2.4387740722005695,26.37401293243833,6.807385115351135,31.227796193189327,21.64377752780548,2059250419.7673485,3533043451.535276,2059250419.7673485,-350792258.4546268,46575752.17446972,30858403.389377445,-2791894859.5932374
1990-05-07,0.12562481386526372,0.1813788142552495,0.22734481956017258,0.03641933957042652,0.05686701251954783,0.04437530605588287,0.15674687934014547,0.18865783632077723,296.9453253548506,297.1106029569508,292.8679121047334,299.2331121591305,295.2344131804846,77.93348921436029,18.063301981853364,295.1768734721436,296.8779376997062,293.62978451388284,305.6812889083144,291.5564661279509,91.93379394615644,16.563864682966557,32.328470612052456,20.590976272970973,21.547675233631715,23.35706933796908,21.547675233631715,15.782936483347562,2.411273415712949,26.692744147670584,6.825026129065058,31.749172660636702,22.083598170837682,2061190587.1530802,3536383729.498471,2061190587.1530802,-351124281.39456356,46619676.89473911,30887438.197834343,-2794542240.9858904
1990-05-14,0.11810893271416152,0.18797062184523375,0.2290846758553324,0.03619044213717445,0.05717617226307008,0.0441839273943018,0.16941505285068942,0.19303223951242435,297.7587625102611,297.91020816327364,293.885672100517,299.98532670747454,296.0541869995848,79.13095699285827,20.392423570859727,295.7620259424939,297.4664382751853,294.2117189129157,306.28725435076495,292.1342967442161,92.1153213681277,16.596646050970183,32.392671077290004,20.631787745804953,23.06155001679732,23.220512389191484,23.06155001679732,16.231337198000794,2.391619099418916,27.005843110920658,6.933088099197151,32.2787303730718,22.499011921824263,2058240557.484384,3531337772.489422,2058240557.484384,-350623766.9823576,46553010.162533596,30843179.10173073,-2790565225.2178054
1990-05-21,0.12775831664081136,0.19797311534999673,0.23213059234832362,0.035963968638330845,0.057491439936764296,0.04399563924398438,0.18135313299194616,0.20455809372408695,298.35300360865574,298.50146819121983,294.57916043264373,300.6198447254773,296.61021488445414,79.73979776253151,18.51885106730778,296.1371051200791,297.84366356930167,294.5847352408605,306.6756745602533,292.5046826020917,92.23167894380025,16.617658656466794,32.43382321414295,20.657947626362464,22.27973384645291,22.50961329105412,22.27973384645291,16.555343068294032,2.3901766413279155,27.375819184431883,7.130287300830558,32.82218427985231,22.852947583802347,2052166649.9635854,3520934606.1578045,2052166649.9635854,-349591417.9817145,46415696.9822324,30752099.723179385,-2782356446.832216
1990-05-28,0.13722332086106037,0.20037479312319925,0.23709064999010465,0.0357400931103954,0.057812853901637755,0.04381062107428982,0.1805244818341727,0.21146507894647987,298.8058414372733,298.9327260622149,295.1119648666705,301.08365171015134,297.07379772933746,80.22471521703342,19.5482057195212,296.37730877518237,298.0852416159928,294.823617745339,306.9244219610098,292.74188056293673,92.30619485172195,16.631115241813703,32.46017739454724,20.674700593806627,22.881998064984682,23.522398897029973,22.881998064984682,16.854767430346737,2.3809485063314075,27.725113437836722,7.398843277256238,33.26803080076301,23.116064908110218,2044102925.3763804,3507119008.925585,2044102925.3763804,-348220299.86264914,46233383.9436217,30631197.383935064,-2771452091.016838
1990-06-04,0.13488039989320386,0.19336438541637901,0.23957127540677498,0.0355189896805027,0.058140450484041234,0.04362905223021245,0.16333750226056054,0.2104033685558814,299.1017122625928,299.20325348444516,295.4884740181099,301.369660628774,297.4377989685147,80.657997572568,23.325941581538956,296.5309187527412,298.23973051735805,294.9763827628941,307.0834956992459,292.89356834711253,92.35384729515697,16.639720660782327,32.47703089233058,20.6854140722666,26.55646208427855,26.80099654717401,26.55646208427855,17.081957605315896,2.244961777752353,27.82919328257072,7.2723912385538965,33.36529833058161,23.220902988590986,2034777493.9573636,3491139602.7887588,2034777493.9573636,-346634368.03267366,46022537.13508001,30491385.01169531,-2758838447.412407
1990-06-11,0.1289815370775484,0.18866166472672663,0.24203734551519673,0.03530083250181029,0.05847426395222656,0.043451111864777396,0.14383155442385934,0.2005384706269664,299.27772202187566,299.347384979801,295.7781650624111,301.4353036749738,297.655210151273,81.23990452705733,23.946393240024904,296.6289351432646,298.33830773899916,295.07385991031356,307.184998484782,292.99035815775323,92.38425325643618,16.645211605733554,32.487784902488436,20.69225016745582,33.62442059853333,30.141891893628355,33.62442059853333,17.28169634780516,2.137927790676254,27.874561566895785,7.211385940335267,33.253425225917574,23.18840869626179,2024657819.565404,3473798032.521922,2024657819.565404,-344913204.7921138,45793728.172339596,30339668.961657137,-2745148737.3341007
1990-06-18,0.12628921596350381,0.17962315355039168,0.23932732564797307,0.035085795688627935,0.05881432649358115,0.04327697887124711,0.13452334582117967,0.1897499612069077,299.45390589643745,299.50279301802993,296.0363312835088,301.5140145309514,297.84975452495695,81.6649628470425,23.41325585599507,296.6912620392822,298.4009912598894,295.1358438247788,307.2495423640999,293.05190503820563,92.40358746919253,16.64870314712638,32.49462321544262,20.6965970931337,46.716187443282976,31.789968928689873,46.716187443282976,17.489574594014385,2.0499192317571806,28.01029318274564,7.237946238701429,33.350093804377444,23.13211643270524,2014044014.2833693,3455608954.708808,2014044014.2833693,-343107902.0459368,45553744.03970176,30180547.317631602,-2730789489.4712973
1990-06-25,0.13434574277861647,0.17989289833776254,0.23996865255424016,0.0348740532513111,0.059160668192549656,0.04310683181516324,0.1376153599327663,0.1866044714779778,299.58891435495764,299.6394099454473,296.1816966282653,301.76183749748657,297.9206059519738,81.74296150258958,23.340048434473132,296.7306791882546,298.44063395013274,295.1750439761257,307.29036163804267,293.09082882980454,92.41581452177884,16.65091123413839,32.498947969502076,20.69934617460169,38.91834915533014,33.79401840478542,38.91834915533014,17.598532289739854,2.0576561102542956,28.072089935885526,7.174537058683029,33.33465645468699,23.14081323361443,2003128739.5232115,3436902760.94127,2003128739.5232115,-341251259.021446,45306941.74315444,30016907.690868735,-2716021681.176519
1990-07-02,0.14876929617803247,0.19141048388446008,0.24408958267873931,0.03466577903094218,0.05951331700925343,0.04294084886624841,0.13899081855650935,0.19565413415940064,299.712601516572,299.7791258068855,296.27417602474327,301.9285913297443,298.0222329290942,81.61097830397398,23.71219210674866,296.75539204882006,298.4654882180228,295.1996206999918,307.31595361912895,293.1152323206518,92.42347994679379,16.652295554354172,32.50165943192866,20.701069702738206,35.033025516999984,35.05210055263935,35.033025516999984,17.667756799920067,2.0998323005741457,28.080885570490075,7.068509841675048,33.20407041296035,23.216261320061122,1992035666.351987,3417891532.658,1992035666.351987,-339364329.8527844,45056118.08398447,29850603.664105717,-2701012836.342833
1990-07-09,0.16865836960744712,0.20068214438391604,0.24819509606211096,0.03446114663382271,0.0598722987588174,0.042779207730192614,0.14384896110165302,0.21168303278539685,299.7348539892461,299.8058849572037,296.2779921214859,302.00789601778695,297.97526724834484,81.54017741103571,28.60367730779528,296.7706690906904,298.48085267817794,295.21481349398084,307.3317741673598,293.1303180588674,92.42821815136759,16.653151258860856,32.50333563635131,20.702135127712324,35.266922241104,37.63717833580044,35.266922241104,17.65479963366237,2.1591537958466667,28.038466924732422,7.07298917967049,32.932315791567596,23.05356602901992,1980844169.4437144,3398711388.3054023,1980844169.4437144,-337460627.54261255,44803068.108222485,29682824.90495485,-2685870475.5227566
