,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_sw,sj_ndvi_se,iq_reanalysis_tdtr_k,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_min_temp_c,iq_ndvi_se,iq_ndvi_nw,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,iq_ndvi_ne,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_station_max_temp_c,iq_station_precip_mm,sj_precipitation_amt_mm,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm
1999-08-13,0.059811915031947153,0.04955315188118374,0.14186596465139723,0.0662135640249556,4.609029315868265,0.16835268899164585,18.945194112794262,11.944339426411576,34.15295690668824,18.945194112794262,6.45074449455943,11.064828457944209,4.651181571782061,8.04946176410903,0.23131899502188757,0.1586957086883593,122.71903800956586,122.75357576722126,121.164455031102,123.61374929216613,121.88793366874756,0.13136942443277203,121.56800407478073,122.22065930408951,120.16538373259027,125.75805798642305,119.10409648810207,13.7738729560758,15.457989174068556,16.096067543031552,19.162073079541074,32.59733030947557,16.096067543031552,7.414255393958779,1.097456382547272,11.413242731616787,2.6219216837964936,13.205841074725935,9.516929905776301,15.104745236977891
1999-08-20,0.060638432038239466,0.05013739246182994,0.14123953993629024,0.06651668425973949,4.616702961095983,0.16976195172788155,19.205749285922774,12.13255254403201,34.33312004170368,19.205749285922774,6.487538251049566,11.089196272108136,4.638811027794706,8.099085931020435,0.2329236484903371,0.1619114480926836,123.25365898871391,123.2886970625993,121.68717456987255,124.15295330949178,122.41844706213246,0.13164924223410981,122.1028048396093,122.75643153562164,120.70075174504939,126.30296142274588,119.63446602816747,13.83284873291732,15.835948690047164,16.46225599501753,18.485699535750314,32.70372551206526,16.46225599501753,7.443420004844046,1.1046533283273554,11.46747321774346,2.6673977840543124,13.270830485998157,9.538015235317175,14.966898785934745
1999-08-27,0.06155010113262497,0.05021009162892894,0.13933792412532747,0.06681903240426887,4.624047268509724,0.171177283485142,19.46732387763445,12.32304531629326,34.51281908984795,19.46732387763445,6.52428401500095,11.113137308144466,4.626202866750118,8.148571254548791,0.2345200359525827,0.16679172411812437,123.78478298706071,123.82032167443336,122.20639451939817,124.68863766713699,122.94548669535283,0.13191970765890212,122.6342395285279,123.288789706084,121.23290611829398,126.8442645984573,120.1616548071847,13.891471025330917,16.214625203438104,16.717744912269552,17.99922555705359,32.812606144820634,16.717744912269552,7.470579715499666,1.1115045577461007,11.51875585547928,2.702535982803024,13.331898512182734,9.564853331265937,14.866112048479735
1999-09-03,0.06326110687502365,0.05022521529269772,0.13636032315248373,0.06712059184592867,4.631064409769666,0.1725984322189863,19.72984460624312,12.515731671633255,34.692027217951576,19.72984460624312,6.560975033599801,11.13665459643314,4.613366783810803,8.197909483160878,0.23610770717956855,0.1726746388492283,124.31235348694804,124.34839293385576,122.72206067114065,125.22074509881887,123.46899660305417,0.13218083632374839,123.16225002652867,123.81767624531594,121.76178711075968,127.381910774092,120.68560316955542,13.94973293134493,16.59387619207032,16.87124524593216,17.686888931401484,32.923659767092346,16.87124524593216,7.495872188464167,1.1180380148126774,11.567301502375257,2.7281684395648718,13.389324210058234,9.596959297849748,14.799201550130022
1999-09-10,0.06614645847170172,0.05051884175591227,0.1325770503150554,0.06742134418668215,4.637756373434222,0.17402515109780647,19.993240058299687,12.710537136472883,34.8707184351544,19.993240058299687,6.59760496997583,11.159751302134818,4.600312535017132,8.247092344425088,0.23768623509932718,0.1788844076687864,124.83631462181455,124.87285482568387,123.23411944901915,125.74921901840352,123.98892147180045,0.132432643364381,123.68677915591769,124.3430344562994,122.28733603703182,127.91584393166266,121.20625260270931,14.007627941529334,16.973562461222397,16.929378731323993,17.53666988108597,33.03664566353244,16.929378731323993,7.51940230551001,1.1242750615507497,11.613270504248788,2.744928978342408,13.44331914944421,9.63396368164949,14.763736499513655
1999-09-17,0.07022039756033358,0.05112152849708376,0.1283641637329451,0.06772126973484258,4.64412496673744,0.17545719662961873,20.257440430588424,12.907396897641805,35.04886757014173,20.257440430588424,6.6341678333248115,11.18243072775875,4.587049950153448,8.29611154407882,0.2392552109789529,0.18480618650651057,125.35661127968959,125.39365209107297,123.74251802070486,126.27400361762001,124.50520674184972,0.13267514279628706,124.20777069255819,124.86480853402327,122.80949527601987,128.4460088245129,121.72354574899825,14.065149888680512,17.3535484640092,16.89695610528335,17.53981214542307,33.151386016052186,16.89695610528335,7.5412463525624425,1.1302312077743002,11.6567790098299,2.753278767429258,13.494036156443363,9.675597112962187,14.757945012639269
1999-09-24,0.07536149611079132,0.05202160300257344,0.12398818365122827,0.06802034789852376,4.650171855356739,0.1768943270754723,20.522377141618428,13.1062536510908,35.226450169308755,20.522377141618428,6.670657906073124,11.204696318558547,4.573588944468526,8.34495877113265,0.24081424032685905,0.18997192495741883,125.87318919074478,125.91073031441935,124.24720439092505,126.79504394904623,125.01779869326556,0.13290834783583028,124.7251693856391,125.3829435965014,123.32820826569477,128.97235104531842,122.23742638919109,14.122292897851874,17.73370188154523,16.777326934951304,17.69020228840975,33.2677541590944,16.777326934951304,7.561457469434911,1.1359171707799696,11.697907322223191,2.7535393118936504,13.541580558312749,9.721670995278913,14.780590062907024
1999-10-01,0.08114781025639178,0.05328825915808934,0.11964730780012414,0.06831855748934351,4.655898613762033,0.17833630119632518,20.78798244184183,13.307055639341867,35.40344237649265,20.78798244184183,6.707069679392593,11.226551668318743,4.559939528009727,8.393625705220186,0.24236293963355318,0.1942394106145936,126.38599500016588,126.42403599575258,124.74812747840282,127.31228599553425,125.5266445176185,0.13313227157777974,125.23892097947805,125.89738571994113,123.8434194960897,129.4948170959997,122.74783941947044,14.179051343236926,18.113892957151222,16.57271420033169,17.983769991819884,33.38566313608661,16.57271420033169,7.580070923654394,1.1413399354705724,11.73670802150236,2.745924238631744,13.586021020881379,9.772059037021174,14.830848825528562
1999-10-08,0.08704292294411925,0.055077363225534845,0.11551827826023348,0.06861587695141101,4.66130677348565,0.1797828773114333,21.054189076075673,13.509755019452278,35.57982082163328,21.054189076075673,6.7433978006586575,11.248000524469358,4.546111812358069,8.442104024343642,0.24390093389143236,0.19751862448514945,126.8949763287092,126.93351661094982,125.24523717916274,127.8256767282567,126.03169237760346,0.1333469277343935,125.74897223644825,126.40808197419528,124.35507450557904,130.01335445256922,123.2547308317618,14.235419813705438,18.49399381992562,16.28449977617916,18.41797374419258,33.505055845058635,16.28449977617916,7.597108636959813,1.1465036790226322,11.773212953712605,2.7305665162105974,13.627398831421267,9.826681494046321,14.90820886156773
1999-10-15,0.09237447806781263,0.057539347289168125,0.1119421608526921,0.06891228453135932,4.666397864354199,0.18123381262138633,21.32093001352116,13.714306577640514,35.75556252849552,21.32093001352116,6.779637032803388,11.269046792167714,4.532116015002099,8.490385412201977,0.24542785476803847,0.19977000037944487,127.40008182344903,127.43912066224854,125.73848441902658,128.33516415568485,126.53289145703482,0.13355233130645727,126.25527096046712,126.91498045682317,124.86311988204189,130.52791162263796,123.75804770097938,14.291393086621504,18.873877896102098,15.913453146537165,18.991387539550203,33.62589710080279,15.913453146537165,7.612582824635169,1.1514105214305275,11.807438858517385,2.707540310063873,13.66573535321599,9.885492545959654,15.012384527183528
