,sj_ndvi_ne,sj_ndvi_nw,sj_ndvi_se,sj_ndvi_sw,sj_precipitation_amt_mm,sj_reanalysis_air_temp_k,sj_reanalysis_avg_temp_k,sj_reanalysis_dew_point_temp_k,sj_reanalysis_max_air_temp_k,sj_reanalysis_min_air_temp_k,sj_reanalysis_precip_amt_kg_per_m2,sj_reanalysis_relative_humidity_percent,sj_reanalysis_sat_precip_amt_mm,sj_reanalysis_specific_humidity_g_per_kg,sj_reanalysis_tdtr_k,sj_station_avg_temp_c,sj_station_diur_temp_rng_c,sj_station_max_temp_c,sj_station_min_temp_c,sj_station_precip_mm,iq_ndvi_ne,iq_ndvi_nw,iq_ndvi_se,iq_ndvi_sw,iq_precipitation_amt_mm,iq_reanalysis_air_temp_k,iq_reanalysis_avg_temp_k,iq_reanalysis_dew_point_temp_k,iq_reanalysis_max_air_temp_k,iq_reanalysis_min_air_temp_k,iq_reanalysis_precip_amt_kg_per_m2,iq_reanalysis_relative_humidity_percent,iq_reanalysis_sat_precip_amt_mm,iq_reanalysis_specific_humidity_g_per_kg,iq_reanalysis_tdtr_k,iq_station_avg_temp_c,iq_station_diur_temp_rng_c,iq_station_max_temp_c,iq_station_min_temp_c,iq_station_precip_mm
1990-04-30,0.14354604199755047,0.172930434133883,0.2091078664376328,0.20090856037924054,39.453792358246645,292.3078686691083,292.39390656679313,288.8134510969972,294.515726953631,290.6022976492386,38.13011555878737,78.9502214598896,39.453792358246645,17.076629864371345,2.208845204257144,27.26819513056411,7.165943978499135,32.22351237187877,22.598962359475635,23.44261758272093,3.792683638635406e+35,8.31083772372024e+35,7.536829062484062e+35,9.99095512573161e+35,-1.4102344275834587e+38,-1.3428827662678673e+38,-1.3657354034320504e+38,-1.3642422661037785e+38,-1.2928861474123853e+38,-1.371579215772203e+38,-1.2548770545988247e+39,-5.572782473688611e+37,-1.4102344275834587e+38,-7.662814123170359e+36,5.019605935185412e+36,-7.295893869488911e+37,-2.522726769433525e+37,-2.5548668166973434e+35,1.6489551244649373e+35,-2.79324537874583e+38
1990-05-07,0.14418759548490093,0.17363663957164632,0.20965686097521904,0.2014912286132299,39.561922102544344,293.2933893919716,293.3799810626599,289.7848762018862,295.5087991894523,291.5816333974524,38.25580292286354,79.20620537486386,39.561922102544344,17.12738810418264,2.2171071974627212,27.35363747933642,7.189051578353091,32.324026902702144,22.6695689143328,23.493383434927146,3.796297003121158e+35,8.318755622690725e+35,7.544009548141273e+35,1.0000473705679146e+36,-1.4115779861821012e+38,-1.3441621575891238e+38,-1.3670365669186741e+38,-1.365542007048549e+38,-1.2941179059529835e+38,-1.3728859467759463e+38,-1.2560726011150408e+39,-5.578091775223475e+37,-1.4115779861821012e+38,-7.670114639739525e+36,5.02438821434702e+36,-7.302844843888947e+37,-2.5251302321902887e+37,-2.557300889510217e+35,1.6505261146838026e+35,-2.7959065682070642e+38
1990-05-14,0.14467848999046073,0.17418831049734632,0.2100491432540053,0.20191502070053508,39.64875866780317,294.0091289788531,294.09615608962207,290.4899032540637,296.22994404420007,292.2927245458615,38.35945043410762,79.38998029330862,39.64875866780317,17.163310213345703,2.223235273868761,27.41452014744719,7.206030412265605,32.39538862440291,22.7196286505486,23.53258605294185,3.790917101903914e+35,8.306966744353842e+35,7.533318596901793e+35,9.986301589899487e+35,-1.4095775768843027e+38,-1.3422572862294742e+38,-1.365099279226698e+38,-1.3636068373631515e+38,-1.2922839545051305e+38,-1.3709403696703019e+38,-1.2542925653433181e+39,-5.57018681583734e+37,-1.4095775768843027e+38,-7.659244982667291e+36,5.017267932649433e+36,-7.292495701352833e+37,-2.5215517729386105e+37,-2.553676825854705e+35,1.6481870783054571e+35,-2.7919443774556476e+38
1990-05-21,0.14511579941820765,0.17469528701975373,0.21036356660828476,0.20226520479072127,39.73170539480414,294.5982788743443,294.6857104033842,291.06957897294683,296.8234347103697,292.8778327293949,38.461752919811055,79.53830607319992,39.73170539480414,17.19157412450017,2.2284556912462166,27.463018722575146,7.220277434854025,32.451870156830275,22.75915181546214,23.568027793275757,3.779792099682722e+35,8.28258873212142e+35,7.511210968623295e+35,9.956995323267244e+35,-1.405440965458121e+38,-1.3383182360358936e+38,-1.3610931958660336e+38,-1.3596051337912748e+38,-1.2884915583577023e+38,-1.366917144775985e+38,-1.2506116604802864e+39,-5.553840288476077e+37,-1.405440965458121e+38,-7.636767808774343e+36,5.0025440265666695e+36,-7.271094853721979e+37,-2.514151926919372e+37,-2.5461826879584744e+35,1.643350228740883e+35,-2.783751021972625e+38
1990-05-28,0.1455932309158826,0.17527210688351483,0.21064199445482373,0.2025968075975332,39.82863917404997,295.14949331238944,295.2373899817799,291.6106813810379,297.3785016081308,293.42485495730307,38.587815402220215,79.67146059833475,39.82863917404997,17.215528851949028,2.233673972059289,27.505309294713467,7.234127861803373,32.50037730920704,22.792910514952016,23.60632014058813,3.765007472914933e+35,8.25019145210017e+35,7.481830926595439e+35,9.918048615167746e+35,-1.3999435950564343e+38,-1.33308341562035e+38,-1.3557692913885144e+38,-1.3542870498559255e+38,-1.2834516345687795e+38,-1.3615704599717604e+38,-1.2457199035902433e+39,-5.53211648934972e+37,-1.3999435950564343e+38,-7.606896656340115e+36,4.9829766180872824e+36,-7.242654079030996e+37,-2.5043178606706267e+37,-2.5362233159961612e+35,1.636922274268189e+35,-2.77286241804589e+38
1990-06-04,0.14610922405681862,0.17591706965605014,0.21088447639106428,0.20290927195236544,39.93741952948362,295.6631881569876,295.75161195939137,292.11362021922923,297.8955684634864,293.9342053859488,38.73570534756143,79.78955563468222,39.93741952948362,17.235151677735573,2.2388900750214686,27.541423041337932,7.247575130517786,32.54098916523908,22.820928124140153,23.64697793628938,3.747902177458053e+35,8.212708933571527e+35,7.447839246770493e+35,9.872988637693966e+35,-1.3935833299193596e+38,-1.3270269116275293e+38,-1.349609720254088e+38,-1.3481342128850599e+38,-1.2776206191512333e+38,-1.3553845327966872e+38,-1.2400603120885975e+39,-5.506982814131877e+37,-1.3935833299193596e+38,-7.572336778516825e+36,4.960337811370501e+36,-7.209749092618402e+37,-2.492940188303701e+37,-2.524700671231381e+35,1.6294853563714909e+35,-2.7602646828302608e+38
1990-06-11,0.14674500853467337,0.17662777782477518,0.21109107636624874,0.2032017817369359,40.054977610576664,296.13991631108786,296.2289311434908,292.5789390861363,298.37519908148215,294.40643431262987,38.902649927173684,79.89273525209911,40.054977610576664,17.250405159728388,2.2441038277432326,27.571398123349873,7.260609111933013,32.57381194723117,22.843231980655556,23.68930447266954,3.729335854907802e+35,8.172024893313186e+35,7.410944210771514e+35,9.824079919455563e+35,-1.3866798107635312e+38,-1.3204530989906842e+38,-1.3429240371258279e+38,-1.3414558391104414e+38,-1.2712915549117075e+38,-1.3486702424598352e+38,-1.2339173137223776e+39,-5.479702377769038e+37,-1.3866798107635312e+38,-7.534825012350749e+36,4.935765339552718e+36,-7.174033565164868e+37,-2.4805907053200925e+37,-2.5121938343079032e+35,1.6214132237681231e+35,-2.746590927058962e+38
1990-06-18,0.14741419642035988,0.17740115647747956,0.2112618776254739,0.20347329002881073,40.1773951641563,296.58036258498413,296.6700348081939,293.00731110126026,298.81809223812076,294.8422233387297,39.08509669655548,79.9811775310969,40.1773951641563,17.261240054084844,2.2493149368870347,27.59528130121415,7.273216258990697,32.598979287303244,22.85985521140069,23.732403760994224,3.709860396204559e+35,8.129348679766435e+35,7.372242537459095e+35,9.772776290548841e+35,-1.3794382473142217e+38,-1.3135573867837594e+38,-1.3359109764704662e+38,-1.334450445725493e+38,-1.2646525756852087e+38,-1.3416271737880621e+38,-1.227473511447935e+39,-5.451086101579007e+37,-1.3794382473142217e+38,-7.495476409318635e+36,4.9099896286785583e+36,-7.136569155240583e+37,-2.4676365051209546e+37,-2.4990745756968712e+35,1.6129458235849825e+35,-2.732247608585784e+38
1990-06-25,0.148113264095583,0.17823347806555645,0.21139698826773223,0.20372255459048305,40.300005355446636,296.9853371812041,297.0757360838824,293.3995334098863,299.22507518832333,295.2423792358471,39.2787912346489,80.0550967739825,40.300005355446636,17.267599060109937,2.2545229986996254,27.61313001267836,7.285379804184894,32.61665258984455,22.870839089364058,23.775196234629057,3.689830096451037e+35,8.085456653256967e+35,7.332438282821357e+35,9.72001106015794e+35,-1.3719903771945324e+38,-1.306465220946998e+38,-1.3286981190166503e+38,-1.32724547397683e+38,-1.2578244569574782e+38,-1.3343834534121236e+38,-1.220846130116134e+39,-5.421654569305017e+37,-1.3719903771945324e+38,-7.455006794321014e+36,4.883479587279736e+36,-7.098037411327102e+37,-2.45431324911116e+37,-2.4855815593219475e+35,1.6042371936685655e+35,-2.7174956594474546e+38
1990-07-02,0.14883818802618148,0.17912039152223552,0.21149654650050564,0.20394817914182625,40.41751320590041,297.35576794955387,297.44696609778373,293.75652065357644,299.5970959325946,295.60782665989484,39.478870319577126,80.11474614360529,40.41751320590041,17.26942128484929,2.2597275073797096,27.625014846042582,7.297080010515353,32.627021466286166,22.87623585861783,23.816437765733024,3.669472381323763e+35,8.040847167476237e+35,7.291983387650551e+35,9.666383329063498e+35,-1.364420764141954e+38,-1.2992571265218445e+38,-1.3213673601484933e+38,-1.3199227297136134e+38,-1.2508847257570985e+38,-1.3270213271363205e+38,-1.2141104175664487e+39,-5.391741949015141e+37,-1.364420764141954e+38,-7.413875662736298e+36,4.8565362125736665e+36,-7.058875826416747e+37,-2.4407722107745204e+37,-2.4718679860145577e+35,1.5953862124994766e+35,-2.7025025746067025e+38
